Jan 01, 2004  02:04:42 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   1.73E-007, 
 30.10,   1.54E-007, 
 30.20,   1.21E-007, 
 30.30,   2.23E-008, 
 30.40,   3.09E-009, 
 30.50,   1.36E-009, 
 30.60,   8.75E-010, 
 30.70,   1.13E-009, 
 30.80,   1.82E-009, 
 30.90,   2.51E-009, 
 31.00,   3.12E-009, 
 31.10,   3.63E-009, 
 31.20,   4.37E-009, 
 31.30,   4.80E-009, 
 31.40,   7.13E-009, 
 31.50,   1.82E-008, 
 31.60,   7.49E-008, 
 31.70,   2.24E-007, 
 31.80,   3.16E-007, 
 31.90,   3.20E-007, 
 32.00,   3.30E-007, 
 32.10,   2.92E-007, 
 32.20,   2.21E-007, 
 32.30,   3.46E-008, 
 32.40,   3.69E-009, 
 32.50,   1.45E-009, 
 32.60,   7.10E-010, 
 32.70,   5.03E-010, 
 32.80,   4.71E-010, 
 32.90,   4.66E-010, 
 33.00,   4.81E-010, 
 33.10,   5.01E-010, 
 33.20,   4.43E-010, 
 33.30,   3.10E-010, 
 33.40,   1.46E-010, 
 33.50,   4.43E-011, 
 33.60,   6.04E-011, 
 33.70,   3.34E-010, 
 33.80,   6.37E-010, 
 33.90,   8.82E-010, 
 34.00,   1.10E-009, 
 34.10,   1.16E-009, 
 34.20,   1.07E-009, 
 34.30,   6.46E-010, 
 34.40,   2.66E-010, 
 34.50,   3.41E-011, 
 34.60,  -2.25E-011, 
 34.70,   2.51E-011, 
 34.80,   1.23E-010, 
 34.90,   2.51E-010, 
 35.00,   2.65E-010, 
 35.10,   2.89E-010, 
 35.20,   2.89E-010, 
 35.30,   1.77E-010, 
 35.40,   5.91E-011, 
 35.50,   3.28E-011, 
 35.60,   1.59E-010, 
 35.70,   5.05E-010, 
 35.80,   1.02E-009, 
 35.90,   1.36E-009, 
 36.00,   1.67E-009, 
 36.10,   1.77E-009, 
 36.20,   1.50E-009, 
 36.30,   8.14E-010, 
 36.40,   3.93E-010, 
 36.50,   1.59E-010, 
 36.60,   5.72E-011, 
 36.70,   6.81E-011, 
 36.80,   9.58E-011, 
 36.90,   1.14E-010, 
 37.00,   1.21E-010, 
 37.10,   1.92E-010, 
 37.20,   2.47E-010, 
 37.30,   2.00E-010, 
 37.40,   6.04E-011, 
 37.50,   5.66E-011, 
 37.60,   1.46E-010, 
 37.70,   3.38E-010, 
 37.80,   5.53E-010, 
 37.90,   7.31E-010, 
 38.00,   8.62E-010, 
 38.10,   9.43E-010, 
 38.20,   9.43E-010, 
 38.30,   7.67E-010, 
 38.40,   7.13E-010, 
 38.50,   9.78E-010, 
 38.60,   2.63E-009, 
 38.70,   1.03E-008, 
 38.80,   1.86E-008, 
 38.90,   2.03E-008, 
 39.00,   2.21E-008, 
 39.10,   2.13E-008, 
 39.20,   1.61E-008, 
 39.30,   6.45E-009, 
 39.40,   4.51E-009, 
 39.50,   8.89E-009, 
 39.60,   3.52E-008, 
 39.70,   1.03E-007, 
 39.80,   1.40E-007, 
 39.90,   1.46E-007, 
 40.00,   1.57E-007, 
 40.10,   1.53E-007, 
 40.20,   9.24E-008, 
 40.30,   2.04E-008, 
 40.40,   1.94E-008, 
 40.50,   4.67E-008, 
 40.60,   1.69E-007, 
 40.70,   4.23E-007, 
 40.80,   5.58E-007, 
 40.90,   5.98E-007, 
 41.00,   6.68E-007, 
 41.10,   7.51E-007, 
