Jan 01, 2004  01:35:57 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.40,   1.06E-009, 
 20.50,   5.22E-010, 
 20.60,   2.16E-010, 
 20.70,   1.26E-010, 
 20.80,   1.05E-010, 
 20.90,   8.03E-011, 
 21.00,   8.16E-011, 
 21.10,   1.09E-010, 
 21.20,   8.48E-011, 
 21.30,   8.93E-011, 
 21.40,   4.69E-011, 
 21.50,   5.59E-011, 
 21.60,   5.91E-011, 
 21.70,   2.57E-010, 
 21.80,   5.75E-010, 
 21.90,   8.30E-010, 
 22.00,   9.94E-010, 
 22.10,   1.07E-009, 
 22.20,   1.09E-009, 
 22.30,   7.92E-010, 
 22.40,   4.64E-010, 
 22.50,   2.72E-010, 
 22.60,   1.30E-010, 
 22.70,   7.13E-011, 
 22.80,   4.05E-011, 
 22.90,   4.50E-011, 
 23.00,   9.00E-012, 
 23.10,   3.53E-011, 
 23.20,   2.51E-011, 
 23.30,   4.37E-011, 
 23.40,   6.81E-011, 
 23.50,   6.30E-011, 
 23.60,   1.06E-010, 
 23.70,   2.75E-010, 
 23.80,   5.05E-010, 
 23.90,   7.62E-010, 
 24.00,   8.86E-010, 
 24.10,   9.85E-010, 
 24.20,   9.41E-010, 
 24.30,   7.79E-010, 
 24.40,   4.22E-010, 
 24.50,   2.68E-010, 
 24.60,   2.80E-010, 
 24.70,   7.90E-010, 
 24.80,   1.79E-009, 
 24.90,   2.71E-009, 
 25.00,   3.21E-009, 
 25.10,   3.38E-009, 
 25.20,   3.25E-009, 
 25.30,   2.49E-009, 
 25.40,   1.20E-009, 
 25.50,   8.68E-010, 
 25.60,   1.12E-009, 
 25.70,   4.67E-009, 
 25.80,   1.20E-008, 
 25.90,   1.68E-008, 
 26.00,   1.77E-008, 
 26.10,   1.76E-008, 
 26.20,   1.61E-008, 
 26.30,   1.09E-008, 
 26.40,   3.07E-009, 
 26.50,   1.66E-009, 
 26.60,   1.94E-009, 
 26.70,   7.50E-009, 
 26.80,   2.03E-008, 
 26.90,   2.75E-008, 
 27.00,   2.91E-008, 
 27.10,   2.95E-008, 
 27.20,   2.79E-008, 
 27.30,   2.15E-008, 
 27.40,   1.20E-008, 
 27.50,   2.38E-008, 
 27.60,   8.42E-008, 
 27.70,   3.53E-007, 
 27.80,   5.19E-007, 
 27.90,   6.47E-007, 
 28.00,   6.26E-007, 
 28.10,   6.19E-007, 
 28.20,   5.39E-007, 
 28.30,   2.03E-007, 
 28.40,   8.89E-009, 
 28.50,   3.52E-009, 
 28.60,   5.30E-009, 
 28.70,   2.62E-008, 
 28.80,   4.52E-008, 
 28.90,   5.85E-008, 
 29.00,   6.00E-008, 
 29.10,   5.89E-008, 
 29.20,   5.19E-008, 
 29.30,   2.62E-008, 
 29.40,   5.17E-009, 
 29.50,   4.24E-009, 
 29.60,   1.16E-008, 
 29.70,   5.96E-008, 
 29.80,   9.27E-008, 
 29.90,   1.15E-007, 
 30.00,   1.13E-007, 
 30.10,   1.10E-007, 
 30.20,   9.65E-008, 
 30.30,   3.75E-008, 
 30.40,   4.24E-009, 
 30.50,   1.78E-009, 
 30.60,   1.45E-009, 
 30.70,   3.58E-009, 
 30.80,   8.75E-009, 
 30.90,   1.28E-008, 
 31.00,   1.43E-008, 
 31.10,   1.43E-008, 
 31.20,   1.32E-008, 
 31.30,   9.19E-009, 
 31.40,   3.78E-009, 
 31.50,   4.08E-009, 
 31.60,   1.14E-008, 
 31.70,   5.65E-008, 
 31.80,   8.64E-008, 
 31.90,   1.09E-007, 
 32.00,   1.08E-007, 
 32.10,   1.04E-007, 
 32.20,   9.14E-008, 
 32.30,   3.31E-008, 
 32.40,   3.84E-009, 
 32.50,   1.39E-009, 
 32.60,   6.97E-010, 
 32.70,   5.17E-010, 
 32.80,   6.47E-010, 
 32.90,   8.38E-010, 
 33.00,   1.06E-009, 
 33.10,   1.17E-009, 
 33.20,   1.10E-009, 
 33.30,   9.19E-010, 
 33.40,   5.51E-010, 
 33.50,   2.37E-010, 
 33.60,   1.45E-010, 
 33.70,   1.85E-010, 
 33.80,   2.45E-010, 
 33.90,   3.89E-010, 
 34.00,   4.74E-010, 
 34.10,   5.04E-010, 
 34.20,   5.01E-010, 
 34.30,   4.22E-010, 
 34.40,   2.13E-010, 
 34.50,   8.23E-011, 
 34.60,   7.46E-011, 
 34.70,   2.35E-010, 
 34.80,   4.52E-010, 
 34.90,   6.54E-010, 
 35.00,   8.48E-010, 
 35.10,   9.53E-010, 
 35.20,   1.02E-009, 
 35.30,   8.97E-010, 
 35.40,   5.66E-010, 
 35.50,   2.76E-010, 
 35.60,   1.70E-010, 
 35.70,   3.25E-010, 
 35.80,   5.13E-010, 
 35.90,   7.13E-010, 
 36.00,   8.89E-010, 
 36.10,   1.01E-009, 
 36.20,   9.77E-010, 
 36.30,   6.86E-010, 
 36.40,   4.09E-010, 
 36.50,   2.02E-010, 
 36.60,   1.48E-010, 
 36.70,   2.69E-010, 
