Jan 01, 2004  03:12:46 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,  -2.89E-011, 
 55.10,  -6.43E-013, 
 55.20,   9.00E-012, 
 55.30,  -3.34E-011, 
 55.40,  -4.31E-011, 
 55.50,   1.22E-011, 
 55.60,   1.29E-012, 
 55.70,   1.54E-011, 
 55.80,  -1.03E-011, 
 55.90,  -2.57E-012, 
 56.00,  -1.86E-011, 
 56.10,   9.64E-012, 
 56.20,  -1.61E-011, 
 56.30,  -1.99E-011, 
 56.40,  -2.38E-011, 
 56.50,  -1.48E-011, 
 56.60,  -4.63E-011, 
 56.70,  -4.24E-011, 
 56.80,  -4.82E-011, 
 56.90,  -5.78E-011, 
 57.00,  -5.33E-011, 
 57.10,  -2.63E-011, 
 57.20,   1.29E-012, 
 57.30,   1.67E-011, 
 57.40,   1.22E-011, 
 57.50,  -2.12E-011, 
 57.60,  -6.23E-011, 
 57.70,  -6.88E-011, 
 57.80,  -3.73E-011, 
 57.90,   1.22E-011, 
 58.00,   1.80E-011, 
 58.10,   1.41E-011, 
 58.20,   7.71E-012, 
 58.30,   1.74E-011, 
 58.40,  -1.16E-011, 
 58.50,  -3.86E-012, 
 58.60,   1.41E-011, 
 58.70,   1.80E-011, 
 58.80,   2.76E-011, 
 58.90,   5.27E-011, 
 59.00,   3.21E-012, 
 59.10,  -1.67E-011, 
 59.20,   6.43E-013, 
 59.30,  -1.67E-011, 
 59.40,  -3.98E-011, 
 59.50,  -4.63E-011, 
 59.60,  -2.76E-011, 
 59.70,  -2.76E-011, 
 59.80,  -3.21E-012, 
 59.90,  -1.61E-011, 
 60.00,  -3.60E-011, 
 60.10,  -3.02E-011, 
 60.20,   4.50E-012, 
 60.30,  -7.07E-012, 
 60.40,  -2.57E-011, 
 60.50,  -5.59E-011, 
 60.60,  -8.74E-011, 
 60.70,  -8.42E-011, 
 60.80,  -2.70E-011, 
 60.90,  -1.29E-012, 
 61.00,   3.86E-012, 
 61.10,   8.35E-012, 
 61.20,  -2.70E-011, 
 61.30,  -4.63E-011, 
 61.40,  -5.91E-011, 
 61.50,  -4.69E-011, 
 61.60,  -4.37E-011, 
 61.70,  -3.15E-011, 
 61.80,  -2.19E-011, 
 61.90,   2.12E-011, 
 62.00,   3.02E-011, 
 62.10,   3.73E-011, 
 62.20,   1.29E-011, 
 62.30,   1.74E-011, 
 62.40,  -5.14E-012, 
 62.50,  -1.03E-011, 
 62.60,   2.57E-012, 
 62.70,   1.09E-011, 
 62.80,   3.73E-011, 
 62.90,   1.67E-011, 
 63.00,   3.53E-011, 
 63.10,   4.31E-011, 
 63.20,   3.60E-011, 
 63.30,   6.43E-013, 
 63.40,  -2.96E-011, 
 63.50,   2.19E-011, 
 63.60,   6.75E-011, 
 63.70,   1.28E-010, 
 63.80,   2.05E-010, 
 63.90,   3.21E-010, 
 64.00,   4.17E-010, 
 64.10,   7.93E-010, 
 64.20,   1.59E-009, 
 64.30,   2.43E-009, 
 64.40,   2.96E-009, 
 64.50,   2.95E-009, 
 64.60,   2.21E-009, 
 64.70,   1.27E-009, 
 64.80,   8.87E-010, 
 64.90,   7.67E-010, 
 65.00,   7.72E-010, 
 65.10,   9.55E-010, 
 65.20,   1.48E-009, 
 65.30,   2.01E-009, 
 65.40,   2.39E-009, 
 65.50,   2.57E-009, 
 65.60,   2.38E-009, 
 65.70,   2.39E-009, 
 65.80,   2.63E-009, 
 65.90,   3.00E-009, 
 66.00,   2.90E-009, 
 66.10,   2.07E-009, 
 66.20,   1.05E-009, 
 66.30,   5.47E-010, 
 66.40,   3.33E-010, 
 66.50,   1.94E-010, 
 66.60,   3.43E-010, 
 66.70,   6.39E-010, 
 66.80,   8.36E-010, 
 66.90,   1.03E-009, 
 67.00,   1.08E-009, 
 67.10,   8.65E-010, 
 67.20,   5.34E-010, 
 67.30,   2.74E-010, 
 67.40,   1.27E-010, 
 67.50,   1.48E-010, 
 67.60,   2.51E-010, 
 67.70,   4.72E-010, 
 67.80,   7.13E-010, 
 67.90,   8.59E-010, 
 68.00,   8.88E-010, 
 68.10,   7.27E-010, 
 68.20,   4.63E-010, 
 68.30,   2.17E-010, 
