Jan 01, 2004  01:57:23 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   1.84E-007, 
 30.10,   1.68E-007, 
 30.20,   1.32E-007, 
 30.30,   2.32E-008, 
 30.40,   3.17E-009, 
 30.50,   1.39E-009, 
 30.60,   9.76E-010, 
 30.70,   1.39E-009, 
 30.80,   2.34E-009, 
 30.90,   3.22E-009, 
 31.00,   4.01E-009, 
 31.10,   4.76E-009, 
 31.20,   5.94E-009, 
 31.30,   6.15E-009, 
 31.40,   9.02E-009, 
 31.50,   2.40E-008, 
 31.60,   9.57E-008, 
 31.70,   2.67E-007, 
 31.80,   3.68E-007, 
 31.90,   3.85E-007, 
 32.00,   4.08E-007, 
 32.10,   3.66E-007, 
 32.20,   2.80E-007, 
 32.30,   4.21E-008, 
 32.40,   3.99E-009, 
 32.50,   1.56E-009, 
 32.60,   8.19E-010, 
 32.70,   5.92E-010, 
 32.80,   5.33E-010, 
 32.90,   6.03E-010, 
 33.00,   6.70E-010, 
 33.10,   7.04E-010, 
 33.20,   6.42E-010, 
 33.30,   4.83E-010, 
 33.40,   2.45E-010, 
 33.50,   1.34E-010, 
 33.60,   1.13E-010, 
 33.70,   3.68E-010, 
 33.80,   8.21E-010, 
 33.90,   1.17E-009, 
 34.00,   1.38E-009, 
 34.10,   1.43E-009, 
 34.20,   1.42E-009, 
 34.30,   8.31E-010, 
 34.40,   3.69E-010, 
 34.50,   1.48E-010, 
 34.60,   1.22E-011, 
 34.70,   1.08E-010, 
 34.80,   1.93E-010, 
 34.90,   2.76E-010, 
 35.00,   3.55E-010, 
 35.10,   3.68E-010, 
 35.20,   3.39E-010, 
 35.30,   2.42E-010, 
 35.40,   1.64E-010, 
 35.50,   1.23E-010, 
 35.60,   1.58E-010, 
 35.70,   5.84E-010, 
 35.80,   1.16E-009, 
 35.90,   1.59E-009, 
 36.00,   1.89E-009, 
 36.10,   1.97E-009, 
 36.20,   1.77E-009, 
 36.30,   9.52E-010, 
 36.40,   4.54E-010, 
 36.50,   2.26E-010, 
 36.60,   1.49E-010, 
 36.70,   4.63E-011, 
 36.80,   1.29E-010, 
 36.90,   1.84E-010, 
 37.00,   2.29E-010, 
 37.10,   2.51E-010, 
 37.20,   2.53E-010, 
 37.30,   1.69E-010, 
 37.40,   1.39E-010, 
 37.50,   1.19E-010, 
 37.60,   1.29E-010, 
 37.70,   2.92E-010, 
 37.80,   5.31E-010, 
 37.90,   7.98E-010, 
 38.00,   1.00E-009, 
 38.10,   1.17E-009, 
 38.20,   1.25E-009, 
 38.30,   1.03E-009, 
 38.40,   9.14E-010, 
 38.50,   1.43E-009, 
 38.60,   4.36E-009, 
 38.70,   1.70E-008, 
 38.80,   2.66E-008, 
 38.90,   2.99E-008, 
 39.00,   3.25E-008, 
 39.10,   3.18E-008, 
 39.20,   2.37E-008, 
 39.30,   8.59E-009, 
 39.40,   6.34E-009, 
 39.50,   1.40E-008, 
 39.60,   5.66E-008, 
 39.70,   1.53E-007, 
 39.80,   1.98E-007, 
 39.90,   2.13E-007, 
 40.00,   2.21E-007, 
 40.10,   2.15E-007, 
 40.20,   1.35E-007, 
 40.30,   2.77E-008, 
 40.40,   2.91E-008, 
 40.50,   7.05E-008, 
 40.60,   2.55E-007, 
 40.70,   6.21E-007, 
 40.80,   7.93E-007, 
 40.90,   8.92E-007, 
 41.00,   1.00E-006, 
 41.10,   1.19E-006, 
