Jan 01, 2004  01:50:21 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   5.11E-008, 
 30.10,   4.96E-008, 
 30.20,   4.25E-008, 
 30.30,   1.10E-008, 
 30.40,   1.82E-009, 
 30.50,   6.97E-010, 
 30.60,   5.13E-010, 
 30.70,   9.52E-010, 
 30.80,   1.71E-009, 
 30.90,   2.39E-009, 
 31.00,   2.97E-009, 
 31.10,   3.77E-009, 
 31.20,   4.63E-009, 
 31.30,   4.89E-009, 
 31.40,   7.14E-009, 
 31.50,   1.83E-008, 
 31.60,   9.56E-008, 
 31.70,   2.58E-007, 
 31.80,   3.47E-007, 
 31.90,   3.81E-007, 
 32.00,   4.00E-007, 
 32.10,   3.91E-007, 
 32.20,   3.15E-007, 
 32.30,   4.65E-008, 
 32.40,   3.62E-009, 
 32.50,   1.22E-009, 
 32.60,   5.35E-010, 
 32.70,   3.73E-010, 
 32.80,   3.53E-010, 
 32.90,   4.06E-010, 
 33.00,   4.90E-010, 
 33.10,   4.48E-010, 
 33.20,   4.43E-010, 
 33.30,   2.94E-010, 
 33.40,   5.40E-011, 
 33.50,  -5.66E-011, 
 33.60,  -2.57E-011, 
 33.70,   3.52E-010, 
 33.80,   8.72E-010, 
 33.90,   1.18E-009, 
 34.00,   1.28E-009, 
 34.10,   1.29E-009, 
 34.20,   1.06E-009, 
 34.30,   4.43E-010, 
 34.40,  -7.39E-011, 
 34.50,  -3.21E-010, 
 34.60,  -4.33E-010, 
 34.70,  -4.36E-010, 
 34.80,  -4.43E-010, 
 34.90,  -4.94E-010, 
 35.00,  -4.79E-010, 
 35.10,  -3.49E-010, 
 35.20,  -3.53E-010, 
 35.30,  -3.73E-010, 
 35.40,  -2.99E-010, 
 35.50,  -1.90E-010, 
 35.60,   1.03E-011, 
 35.70,   1.99E-010, 
 35.80,   3.31E-010, 
 35.90,   4.63E-010, 
 36.00,   5.37E-010, 
 36.10,   5.98E-010, 
 36.20,   6.27E-010, 
 36.30,   3.77E-010, 
 36.40,   1.05E-010, 
 36.50,  -5.08E-011, 
 36.60,  -1.39E-010, 
 36.70,  -1.03E-010, 
 36.80,  -2.25E-011, 
 36.90,   7.01E-011, 
 37.00,   1.46E-010, 
 37.10,   2.11E-010, 
 37.20,   3.15E-010, 
 37.30,   2.49E-010, 
 37.40,   1.23E-010, 
 37.50,   2.63E-011, 
 37.60,   7.39E-011, 
 37.70,   3.21E-010, 
 37.80,   6.58E-010, 
 37.90,   9.74E-010, 
 38.00,   1.27E-009, 
 38.10,   1.56E-009, 
 38.20,   1.78E-009, 
 38.30,   1.60E-009, 
 38.40,   1.54E-009, 
 38.50,   2.53E-009, 
 38.60,   1.06E-008, 
 38.70,   3.43E-008, 
 38.80,   5.27E-008, 
 38.90,   6.19E-008, 
 39.00,   7.13E-008, 
 39.10,   7.33E-008, 
 39.20,   5.40E-008, 
 39.30,   1.57E-008, 
 39.40,   9.11E-009, 
 39.50,   1.97E-008, 
 39.60,   9.74E-008, 
 39.70,   2.33E-007, 
 39.80,   3.31E-007, 
 39.90,   3.69E-007, 
 40.00,   4.17E-007, 
 40.10,   4.18E-007, 
 40.20,   2.82E-007, 
 40.30,   4.74E-008, 
 40.40,   4.23E-008, 
 40.50,   1.02E-007, 
 40.60,   4.38E-007, 
 40.70,   1.04E-006, 
 40.80,   1.53E-006, 
 40.90,   1.76E-006, 
 41.00,   2.11E-006, 
 41.10,   2.44E-006, 
 41.20,   2.26E-006, 
 41.30,   1.61E-006, 
 41.40,   1.89E-006, 
 41.50,   2.37E-006, 
 41.60,   3.45E-006, 
 41.70,   5.55E-006, 
 41.80,   6.65E-006, 
 41.90,   7.80E-006, 
 42.00,   9.23E-006, 
 42.10,   9.50E-006, 
 42.20,   5.87E-006, 
 42.30,   3.94E-007, 
 42.40,   5.95E-008, 
 42.50,   1.28E-007, 
 42.60,   5.59E-007, 
 42.70,   1.48E-006, 
 42.80,   2.22E-006, 
 42.90,   2.63E-006, 
 43.00,   2.87E-006, 
 43.10,   2.83E-006, 
 43.20,   1.74E-006, 
 43.30,   1.45E-007, 
 43.40,   8.90E-009, 
 43.50,   4.78E-009, 
 43.60,   8.91E-009, 
 43.70,   4.23E-008, 
 43.80,   8.02E-008, 
 43.90,   1.00E-007, 
 44.00,   1.06E-007, 
 44.10,   1.08E-007, 
 44.20,   9.21E-008, 
 44.30,   2.46E-008, 
 44.40,   3.21E-009, 
 44.50,   1.05E-009, 
 44.60,   5.96E-010, 
 44.70,   5.84E-010, 
 44.80,   9.35E-010, 
 44.90,   1.29E-009, 
 45.00,   1.57E-009, 
 45.10,   1.77E-009, 
 45.20,   1.94E-009, 
 45.30,   1.46E-009, 
 45.40,   5.93E-010, 
 45.50,   2.17E-010, 
 45.60,   7.13E-011, 
 45.70,   9.51E-011, 
 45.80,   1.93E-010, 
 45.90,   3.57E-010, 
 46.00,   5.50E-010, 
 46.10,   6.97E-010, 
 46.20,   8.05E-010, 
 46.30,   6.43E-010, 
 46.40,   2.86E-010, 
 46.50,   1.12E-010, 
 46.60,   1.29E-011, 
 46.70,   1.22E-011, 
 46.80,   7.58E-011, 
 46.90,   1.61E-010, 
 47.00,   2.43E-010, 
 47.10,   2.56E-010, 
 47.20,   2.24E-010, 
 47.30,   1.15E-010, 
 47.40,   4.76E-011, 
 47.50,  -2.06E-011, 
 47.60,  -1.86E-011, 
 47.70,   6.23E-011, 
 47.80,   1.53E-010, 
 47.90,   1.66E-010, 
 48.00,   2.15E-010, 
 48.10,   1.90E-010, 
 48.20,   1.99E-010, 
 48.30,   2.19E-010, 
 48.40,   2.11E-010, 
 48.50,   1.30E-010, 
 48.60,   3.28E-011, 
 48.70,  -4.63E-011, 
 48.80,  -4.56E-011, 
 48.90,   7.39E-011, 
 49.00,   2.30E-010, 
 49.10,   3.37E-010, 
 49.20,   4.16E-010, 
 49.30,   3.27E-010, 
 49.40,   1.63E-010, 
 49.50,   3.28E-011, 
 49.60,  -1.99E-011, 
 49.70,   1.66E-010, 
 49.80,   7.56E-010, 
 49.90,   1.51E-009, 
 50.00,   2.06E-009, 
 50.10,   2.39E-009, 
 50.20,   2.39E-009, 
 50.30,   1.69E-009, 
 50.40,   7.05E-010, 
 50.50,   2.76E-010, 
 50.60,   1.66E-010, 
 50.70,   1.64E-010, 
 50.80,   3.43E-010, 
 50.90,   6.24E-010, 
 51.00,   8.88E-010, 
 51.10,   1.07E-009, 
 51.20,   1.23E-009, 
 51.30,   1.13E-009, 
 51.40,   6.88E-010, 
 51.50,   3.22E-010, 
 51.60,   1.09E-010, 
 51.70,   7.20E-011, 
 51.80,   2.52E-010, 
 51.90,   5.56E-010, 
 52.00,   8.17E-010, 
 52.10,   1.02E-009, 
 52.20,   1.21E-009, 
 52.30,   1.03E-009, 
 52.40,   4.58E-010, 
 52.50,   1.84E-010, 
 52.60,   1.78E-010, 
 52.70,   2.37E-010, 
 52.80,   4.88E-010, 
 52.90,   8.68E-010, 
 53.00,   1.21E-009, 
 53.10,   1.45E-009, 
 53.20,   1.58E-009, 
 53.30,   1.35E-009, 
 53.40,   6.98E-010, 
 53.50,   2.94E-010, 
 53.60,   1.42E-010, 
 53.70,   2.52E-010, 
 53.80,   8.63E-010, 
 53.90,   1.86E-009, 
 54.00,   2.83E-009, 
 54.10,   3.34E-009, 
 54.20,   3.70E-009, 
 54.30,   3.52E-009, 
 54.40,   1.87E-009, 
 54.50,   8.17E-010, 
 54.60,   5.38E-010, 
 54.70,   7.26E-010, 
 54.80,   2.46E-009, 
 54.90,   6.43E-009, 
 55.00,   9.80E-009, 
 55.10,   1.12E-008, 
 55.20,   1.14E-008, 
 55.30,   1.02E-008, 
 55.40,   4.53E-009, 
 55.50,   1.69E-009, 
 55.60,   1.17E-009, 
 55.70,   1.79E-009, 
 55.80,   7.75E-009, 
 55.90,   2.02E-008, 
 56.00,   2.86E-008, 
 56.10,   3.26E-008, 
 56.20,   3.42E-008, 
 56.30,   3.03E-008, 
 56.40,   1.11E-008, 
 56.50,   2.46E-009, 
 56.60,   8.82E-010, 
 56.70,   4.16E-010, 
 56.80,   4.07E-010, 
 56.90,   7.54E-010, 
 57.00,   1.16E-009, 
 57.10,   1.47E-009, 
 57.20,   1.55E-009, 
 57.30,   1.44E-009, 
 57.40,   8.61E-010, 
 57.50,   2.96E-010, 
 57.60,   1.25E-010, 
 57.70,   1.37E-010, 
 57.80,   2.22E-010, 
 57.90,   4.33E-010, 
 58.00,   5.98E-010, 
 58.10,   6.75E-010, 
 58.20,   6.92E-010, 
 58.30,   6.54E-010, 
 58.40,   3.40E-010, 
 58.50,   1.75E-010, 
 58.60,   1.07E-010, 
 58.70,   4.63E-011, 
 58.80,   1.22E-011, 
 58.90,  -1.48E-011, 
 59.00,  -3.86E-012, 
 59.10,   1.09E-011, 
 59.20,  -5.14E-012, 
 59.30,  -5.78E-012, 
 59.40,  -2.06E-011, 
 59.50,   1.35E-011, 
 59.60,   4.76E-011, 
 59.70,   3.53E-011, 
 59.80,   5.40E-011, 
 59.90,   6.56E-011, 
 60.00,   8.48E-011, 
 60.10,   8.68E-011, 
 60.20,   8.68E-011, 
 60.30,   8.61E-011, 
 60.40,   5.91E-011, 
 60.50,   3.28E-011, 
 60.60,   4.63E-011, 
 60.70,  -1.35E-011, 
 60.80,   1.35E-011, 
 60.90,   8.55E-011, 
 61.00,   9.90E-011, 
 61.10,   6.17E-011, 
 61.20,   7.33E-011, 
 61.30,   9.00E-011, 
 61.40,   9.38E-011, 
 61.50,   7.52E-011, 
 61.60,   5.53E-011, 
 61.70,  -1.29E-012, 
 61.80,  -2.19E-011, 
 61.90,  -1.86E-011, 
 62.00,   5.46E-011, 
 62.10,   1.05E-010, 
 62.20,   1.41E-010, 
 62.30,   7.20E-011, 
 62.40,   1.29E-012, 
 62.50,  -1.54E-011, 
 62.60,   1.48E-011, 
 62.70,   2.19E-011, 
 62.80,   4.37E-011, 
 62.90,   3.47E-011, 
 63.00,   1.12E-010, 
 63.10,   1.81E-010, 
 63.20,   2.46E-010, 
 63.30,   1.56E-010, 
 63.40,   2.31E-011, 
 63.50,  -3.98E-011, 
 63.60,  -4.37E-011, 
 63.70,   2.25E-011, 
 63.80,   1.12E-010, 
 63.90,   1.98E-010, 
 64.00,   2.55E-010, 
 64.10,   2.98E-010, 
 64.20,   2.97E-010, 
 64.30,   2.22E-010, 
 64.40,   1.65E-010, 
 64.50,   1.26E-010, 
 64.60,   1.31E-010, 
 64.70,   1.36E-010, 
 64.80,   1.59E-010, 
 64.90,   1.60E-010, 
 65.00,   2.84E-010, 
 65.10,   3.71E-010, 
 65.20,   4.16E-010, 
 65.30,   3.26E-010, 
 65.40,   1.10E-010, 
 65.50,  -1.54E-011, 
 65.60,  -2.83E-011, 
 65.70,  -7.07E-012, 
 65.80,   3.98E-011, 
 65.90,   1.20E-010, 
 66.00,   2.09E-010, 
 66.10,   2.29E-010, 
 66.20,   2.11E-010, 
 66.30,   2.15E-010, 
 66.40,   1.25E-010, 
 66.50,   8.10E-011, 
 66.60,   9.38E-011, 
 66.70,   1.29E-010, 
 66.80,   3.43E-010, 
 66.90,   8.62E-010, 
 67.00,   1.52E-009, 
 67.10,   2.06E-009, 
 67.20,   2.34E-009, 
 67.30,   2.36E-009, 
 67.40,   1.63E-009, 
 67.50,   6.85E-010, 
 67.60,   2.72E-010, 
 67.70,   1.43E-010, 
 67.80,   1.43E-010, 
 67.90,   2.06E-010, 
 68.00,   3.31E-010, 
 68.10,   4.68E-010, 
 68.20,   5.20E-010, 
 68.30,   6.50E-010, 
 68.40,   6.14E-010, 
