Jan 01, 2004  02:15:21 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   7.02E-008, 
 30.10,   6.45E-008, 
 30.20,   4.81E-008, 
 30.30,   1.11E-008, 
 30.40,   2.24E-009, 
 30.50,   1.02E-009, 
 30.60,   5.84E-010, 
 30.70,   5.03E-010, 
 30.80,   6.07E-010, 
 30.90,   7.65E-010, 
 31.00,   9.20E-010, 
 31.10,   1.04E-009, 
 31.20,   1.16E-009, 
 31.30,   1.23E-009, 
 31.40,   1.61E-009, 
 31.50,   3.08E-009, 
 31.60,   1.26E-008, 
 31.70,   5.63E-008, 
 31.80,   7.68E-008, 
 31.90,   9.12E-008, 
 32.00,   8.91E-008, 
 32.10,   8.03E-008, 
 32.20,   5.71E-008, 
 32.30,   1.18E-008, 
 32.40,   2.31E-009, 
 32.50,   1.01E-009, 
 32.60,   5.39E-010, 
 32.70,   3.43E-010, 
 32.80,   1.85E-010, 
 32.90,   1.47E-010, 
 33.00,   1.32E-010, 
 33.10,   1.06E-010, 
 33.20,   9.32E-011, 
 33.30,   4.88E-011, 
 33.40,   1.61E-011, 
 33.50,  -1.93E-011, 
 33.60,  -8.35E-012, 
 33.70,   5.59E-011, 
 33.80,   1.25E-010, 
 33.90,   2.07E-010, 
 34.00,   2.90E-010, 
 34.10,   3.10E-010, 
 34.20,   1.84E-010, 
 34.30,   1.41E-010, 
 34.40,   7.71E-011, 
 34.50,   1.67E-011, 
 34.60,  -2.19E-011, 
 34.70,   4.56E-011, 
 34.80,   1.11E-010, 
 34.90,   1.48E-010, 
 35.00,   1.65E-010, 
 35.10,   1.70E-010, 
 35.20,   1.31E-010, 
 35.30,   1.08E-010, 
 35.40,   5.98E-011, 
 35.50,   4.18E-011, 
 35.60,   2.96E-011, 
 35.70,   1.29E-010, 
 35.80,   3.20E-010, 
 35.90,   4.16E-010, 
 36.00,   4.90E-010, 
 36.10,   5.48E-010, 
 36.20,   5.36E-010, 
 36.30,   3.42E-010, 
 36.40,   1.41E-010, 
 36.50,   8.87E-011, 
 36.60,   5.46E-011, 
 36.70,   5.27E-011, 
 36.80,   4.56E-011, 
 36.90,   4.56E-011, 
 37.00,   7.97E-011, 
 37.10,   1.17E-010, 
 37.20,   8.74E-011, 
 37.30,   1.80E-011, 
 37.40,   2.31E-011, 
 37.50,  -7.07E-012, 
 37.60,   5.14E-012, 
 37.70,   5.98E-011, 
 37.80,   1.40E-010, 
 37.90,   1.85E-010, 
 38.00,   2.15E-010, 
 38.10,   3.19E-010, 
 38.20,   2.40E-010, 
 38.30,   1.14E-010, 
 38.40,   5.91E-011, 
 38.50,   1.74E-011, 
 38.60,   1.99E-011, 
 38.70,   1.23E-010, 
 38.80,   2.33E-010, 
 38.90,   3.78E-010, 
 39.00,   4.43E-010, 
 39.10,   4.93E-010, 
 39.20,   4.65E-010, 
 39.30,   3.63E-010, 
 39.40,   3.21E-010, 
 39.50,   3.98E-010, 
 39.60,   9.88E-010, 
 39.70,   4.05E-009, 
 39.80,   7.52E-009, 
 39.90,   9.51E-009, 
 40.00,   1.02E-008, 
 40.10,   9.61E-009, 
 40.20,   6.49E-009, 
 40.30,   2.45E-009, 
 40.40,   1.05E-009, 
 40.50,   7.33E-010, 
 40.60,   1.04E-009, 
 40.70,   3.04E-009, 
 40.80,   5.63E-009, 
 40.90,   7.31E-009, 
 41.00,   8.12E-009, 
 41.10,   8.99E-009, 
