Jan 01, 2004  01:53:45 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   1.23E-007, 
 30.10,   1.13E-007, 
 30.20,   9.16E-008, 
 30.30,   1.74E-008, 
 30.40,   2.65E-009, 
 30.50,   1.18E-009, 
 30.60,   8.26E-010, 
 30.70,   1.39E-009, 
 30.80,   2.52E-009, 
 30.90,   3.43E-009, 
 31.00,   4.30E-009, 
 31.10,   5.04E-009, 
 31.20,   5.99E-009, 
 31.30,   5.97E-009, 
 31.40,   9.49E-009, 
 31.50,   2.56E-008, 
 31.60,   1.02E-007, 
 31.70,   2.70E-007, 
 31.80,   3.51E-007, 
 31.90,   3.78E-007, 
 32.00,   4.33E-007, 
 32.10,   4.20E-007, 
 32.20,   3.19E-007, 
 32.30,   4.33E-008, 
 32.40,   3.88E-009, 
 32.50,   1.44E-009, 
 32.60,   7.11E-010, 
 32.70,   4.89E-010, 
 32.80,   4.87E-010, 
 32.90,   5.18E-010, 
 33.00,   6.10E-010, 
 33.10,   6.41E-010, 
 33.20,   6.47E-010, 
 33.30,   4.36E-010, 
 33.40,   1.75E-010, 
 33.50,   1.03E-010, 
 33.60,   1.54E-010, 
 33.70,   4.34E-010, 
 33.80,   8.05E-010, 
 33.90,   1.10E-009, 
 34.00,   1.36E-009, 
 34.10,   1.50E-009, 
 34.20,   1.47E-009, 
 34.30,   8.20E-010, 
 34.40,   2.60E-010, 
 34.50,   2.44E-011, 
 34.60,  -2.25E-011, 
 34.70,  -1.35E-011, 
 34.80,   2.51E-011, 
 34.90,   1.03E-010, 
 35.00,   2.11E-010, 
 35.10,   2.87E-010, 
 35.20,   2.75E-010, 
 35.30,   1.81E-010, 
 35.40,   5.78E-011, 
 35.50,  -9.64E-012, 
 35.60,   9.25E-011, 
 35.70,   4.24E-010, 
 35.80,   8.73E-010, 
 35.90,   1.18E-009, 
 36.00,   1.40E-009, 
 36.10,   1.48E-009, 
 36.20,   1.34E-009, 
 36.30,   6.99E-010, 
 36.40,   3.34E-010, 
 36.50,   1.63E-010, 
 36.60,   8.03E-011, 
 36.70,   4.43E-011, 
 36.80,   8.23E-011, 
 36.90,   1.38E-010, 
 37.00,   2.25E-010, 
 37.10,   2.50E-010, 
 37.20,   2.17E-010, 
 37.30,   1.38E-010, 
 37.40,   9.00E-011, 
 37.50,   9.13E-011, 
 37.60,   9.51E-011, 
 37.70,   2.74E-010, 
 37.80,   6.07E-010, 
 37.90,   8.36E-010, 
 38.00,   1.03E-009, 
 38.10,   1.18E-009, 
 38.20,   1.33E-009, 
 38.30,   1.17E-009, 
 38.40,   1.14E-009, 
 38.50,   1.99E-009, 
 38.60,   7.46E-009, 
 38.70,   2.71E-008, 
 38.80,   3.76E-008, 
 38.90,   4.08E-008, 
 39.00,   4.38E-008, 
 39.10,   4.47E-008, 
 39.20,   3.37E-008, 
 39.30,   1.10E-008, 
 39.40,   8.22E-009, 
 39.50,   1.91E-008, 
 39.60,   7.89E-008, 
 39.70,   1.98E-007, 
 39.80,   2.47E-007, 
 39.90,   2.76E-007, 
 40.00,   3.08E-007, 
 40.10,   3.26E-007, 
 40.20,   2.09E-007, 
 40.30,   3.55E-008, 
 40.40,   3.83E-008, 
 40.50,   9.11E-008, 
 40.60,   3.33E-007, 
 40.70,   8.40E-007, 
 40.80,   1.14E-006, 
 40.90,   1.34E-006, 
 41.00,   1.45E-006, 
 41.10,   1.71E-006, 
 41.20,   1.62E-006, 
 41.30,   1.15E-006, 
 41.40,   1.34E-006, 
 41.50,   1.60E-006, 
 41.60,   2.75E-006, 
 41.70,   4.84E-006, 
 41.80,   5.36E-006, 
 41.90,   6.22E-006, 
 42.00,   6.26E-006, 
 42.10,   6.30E-006, 
 42.20,   3.48E-006, 
 42.30,   1.90E-007, 
 42.40,   5.76E-008, 
 42.50,   1.30E-007, 
 42.60,   4.90E-007, 
 42.70,   1.29E-006, 
 42.80,   1.62E-006, 
 42.90,   1.81E-006, 
 43.00,   1.84E-006, 
 43.10,   1.84E-006, 
 43.20,   1.04E-006, 
 43.30,   7.98E-008, 
 43.40,   9.21E-009, 
 43.50,   9.31E-009, 
 43.60,   2.45E-008, 
 43.70,   1.03E-007, 
 43.80,   1.67E-007, 
 43.90,   1.87E-007, 
 44.00,   1.99E-007, 
 44.10,   1.94E-007, 
 44.20,   1.61E-007, 
 44.30,   3.69E-008, 
 44.40,   3.91E-009, 
 44.50,   1.49E-009, 
 44.60,   8.61E-010, 
 44.70,   8.83E-010, 
 44.80,   1.58E-009, 
 44.90,   2.25E-009, 
 45.00,   2.73E-009, 
 45.10,   3.08E-009, 
 45.20,   3.36E-009, 
 45.30,   2.17E-009, 
 45.40,   9.52E-010, 
 45.50,   4.66E-010, 
 45.60,   2.96E-010, 
 45.70,   2.71E-010, 
 45.80,   4.26E-010, 
 45.90,   7.22E-010, 
 46.00,   9.68E-010, 
 46.10,   1.11E-009, 
 46.20,   1.23E-009, 
 46.30,   9.45E-010, 
 46.40,   4.89E-010, 
 46.50,   1.77E-010, 
 46.60,   1.08E-010, 
 46.70,   7.90E-011, 
 46.80,   1.36E-010, 
 46.90,   1.70E-010, 
 47.00,   1.87E-010, 
 47.10,   1.52E-010, 
 47.20,   1.86E-010, 
 47.30,   1.62E-010, 
 47.40,   8.29E-011, 
 47.50,   4.88E-011, 
 47.60,   3.66E-011, 
 47.70,   7.65E-011, 
 47.80,   1.13E-010, 
 47.90,   1.45E-010, 
 48.00,   2.10E-010, 
 48.10,   2.58E-010, 
 48.20,   2.69E-010, 
 48.30,   2.02E-010, 
 48.40,   1.20E-010, 
 48.50,   5.21E-011, 
 48.60,   4.37E-011, 
 48.70,   5.46E-011, 
 48.80,   1.18E-010, 
 48.90,   1.26E-010, 
 49.00,   1.48E-010, 
 49.10,   1.95E-010, 
 49.20,   2.38E-010, 
 49.30,   2.26E-010, 
 49.40,   1.21E-010, 
 49.50,   9.45E-011, 
 49.60,   1.05E-010, 
 49.70,   3.08E-010, 
 49.80,   8.48E-010, 
 49.90,   1.46E-009, 
 50.00,   1.88E-009, 
 50.10,   1.94E-009, 
 50.20,   1.91E-009, 
 50.30,   1.41E-009, 
 50.40,   7.02E-010, 
 50.50,   3.37E-010, 
 50.60,   1.86E-010, 
 50.70,   1.66E-010, 
 50.80,   2.86E-010, 
 50.90,   4.51E-010, 
 51.00,   6.45E-010, 
 51.10,   7.49E-010, 
 51.20,   8.57E-010, 
 51.30,   7.31E-010, 
 51.40,   4.47E-010, 
 51.50,   2.78E-010, 
 51.60,   2.02E-010, 
 51.70,   1.85E-010, 
 51.80,   3.51E-010, 
 51.90,   6.29E-010, 
 52.00,   9.12E-010, 
 52.10,   1.07E-009, 
 52.20,   1.07E-009, 
 52.30,   8.61E-010, 
 52.40,   4.92E-010, 
 52.50,   2.67E-010, 
 52.60,   1.81E-010, 
 52.70,   1.46E-010, 
 52.80,   2.30E-010, 
 52.90,   4.54E-010, 
 53.00,   6.46E-010, 
 53.10,   7.94E-010, 
 53.20,   8.68E-010, 
 53.30,   7.81E-010, 
 53.40,   4.65E-010, 
 53.50,   2.90E-010, 
 53.60,   2.58E-010, 
 53.70,   2.81E-010, 
 53.80,   5.10E-010, 
 53.90,   9.94E-010, 
 54.00,   1.40E-009, 
 54.10,   1.73E-009, 
 54.20,   1.96E-009, 
 54.30,   1.92E-009, 
 54.40,   1.14E-009, 
 54.50,   5.40E-010, 
 54.60,   3.84E-010, 
 54.70,   3.69E-010, 
 54.80,   8.89E-010, 
 54.90,   2.13E-009, 
 55.00,   3.42E-009, 
 55.10,   4.48E-009, 
 55.20,   4.72E-009, 
 55.30,   4.40E-009, 
 55.40,   2.43E-009, 
 55.50,   1.10E-009, 
 55.60,   7.23E-010, 
 55.70,   9.28E-010, 
 55.80,   2.59E-009, 
 55.90,   7.49E-009, 
 56.00,   1.15E-008, 
 56.10,   1.41E-008, 
 56.20,   1.36E-008, 
 56.30,   1.22E-008, 
 56.40,   5.40E-009, 
 56.50,   1.70E-009, 
 56.60,   7.36E-010, 
 56.70,   3.72E-010, 
 56.80,   2.77E-010, 
 56.90,   3.49E-010, 
 57.00,   5.08E-010, 
 57.10,   6.81E-010, 
 57.20,   7.58E-010, 
 57.30,   7.33E-010, 
 57.40,   5.31E-010, 
 57.50,   2.76E-010, 
 57.60,   1.61E-010, 
 57.70,   9.83E-011, 
 57.80,   1.37E-010, 
 57.90,   3.75E-010, 
 58.00,   6.50E-010, 
 58.10,   8.04E-010, 
 58.20,   8.70E-010, 
 58.30,   7.98E-010, 
 58.40,   4.97E-010, 
 58.50,   2.57E-010, 
 58.60,   9.77E-011, 
 58.70,   5.21E-011, 
 58.80,   3.66E-011, 
 58.90,   2.83E-011, 
 59.00,   5.72E-011, 
 59.10,   7.97E-011, 
 59.20,   9.45E-011, 
 59.30,   8.68E-011, 
 59.40,   6.49E-011, 
 59.50,   3.79E-011, 
 59.60,   1.03E-011, 
 59.70,   2.51E-011, 
 59.80,   4.31E-011, 
 59.90,   6.43E-011, 
 60.00,   5.40E-011, 
 60.10,   7.78E-011, 
 60.20,   1.07E-010, 
 60.30,   1.05E-010, 
 60.40,   9.58E-011, 
 60.50,   9.38E-011, 
 60.60,   7.33E-011, 
 60.70,   4.69E-011, 
 60.80,   3.47E-011, 
 60.90,   5.85E-011, 
 61.00,   4.18E-011, 
 61.10,   1.99E-011, 
 61.20,   4.88E-011, 
 61.30,   8.16E-011, 
 61.40,   8.61E-011, 
 61.50,   1.01E-010, 
 61.60,   9.06E-011, 
 61.70,   7.20E-011, 
 61.80,   8.68E-011, 
 61.90,   8.80E-011, 
 62.00,   1.27E-010, 
 62.10,   1.31E-010, 
 62.20,   1.08E-010, 
 62.30,   8.10E-011, 
 62.40,   6.30E-011, 
 62.50,   2.31E-011, 
 62.60,   5.91E-011, 
 62.70,   7.65E-011, 
 62.80,   5.53E-011, 
 62.90,   7.97E-011, 
 63.00,   8.93E-011, 
 63.10,   8.80E-011, 
 63.20,   1.09E-010, 
 63.30,   9.32E-011, 
 63.40,   7.78E-011, 
 63.50,   8.48E-011, 
 63.60,   5.66E-011, 
 63.70,   5.85E-011, 
 63.80,   1.69E-010, 
 63.90,   2.32E-010, 
 64.00,   3.69E-010, 
 64.10,   3.86E-010, 
 64.20,   4.12E-010, 
 64.30,   3.28E-010, 
 64.40,   1.95E-010, 
 64.50,   1.70E-010, 
 64.60,   1.27E-010, 
 64.70,   9.64E-011, 
 64.80,   1.07E-010, 
 64.90,   1.11E-010, 
 65.00,   1.49E-010, 
 65.10,   1.84E-010, 
 65.20,   2.12E-010, 
 65.30,   2.28E-010, 
 65.40,   1.53E-010, 
 65.50,   1.39E-010, 
 65.60,   1.50E-010, 
 65.70,   1.23E-010, 
 65.80,   1.37E-010, 
 65.90,   1.27E-010, 
 66.00,   1.59E-010, 
 66.10,   2.20E-010, 
 66.20,   2.42E-010, 
 66.30,   2.30E-010, 
 66.40,   2.02E-010, 
 66.50,   1.40E-010, 
 66.60,   1.25E-010, 
 66.70,   1.09E-010, 
 66.80,   2.10E-010, 
 66.90,   6.21E-010, 
 67.00,   1.11E-009, 
 67.10,   1.59E-009, 
 67.20,   1.86E-009, 
 67.30,   1.84E-009, 
 67.40,   1.23E-009, 
 67.50,   5.96E-010, 
 67.60,   3.08E-010, 
 67.70,   1.90E-010, 
 67.80,   1.68E-010, 
 67.90,   2.24E-010, 
 68.00,   2.82E-010, 
 68.10,   3.17E-010, 
 68.20,   3.41E-010, 
 68.30,   3.76E-010, 
 68.40,   2.98E-010, 
 68.50,   2.05E-010, 
 68.60,   1.63E-010, 
