Jan 01, 2004  02:51:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 74.50,  -3.86E-012, 
 74.60,  -6.43E-013, 
 74.70,   7.07E-012, 
 74.80,  -2.63E-011, 
 74.90,  -1.93E-012, 
 75.00,  -1.61E-011, 
 75.10,   1.29E-012, 
 75.20,   2.31E-011, 
 75.30,  -1.48E-011, 
 75.40,   1.86E-011, 
 75.50,   3.21E-012, 
 75.60,  -3.66E-011, 
 75.70,  -1.61E-011, 
 75.80,   0.00E+000, 
 75.90,  -1.35E-011, 
 76.00,   2.57E-012, 
 76.10,   1.93E-012, 
 76.20,   4.69E-011, 
 76.30,   5.98E-011, 
 76.40,   2.57E-011, 
 76.50,  -1.29E-011, 
 76.60,  -3.21E-012, 
 76.70,   1.67E-011, 
 76.80,   2.31E-011, 
 76.90,   3.86E-011, 
 77.00,   6.36E-011, 
 77.10,   5.14E-011, 
 77.20,   6.04E-011, 
 77.30,   3.66E-011, 
 77.40,   2.38E-011, 
 77.50,   3.47E-011, 
 77.60,   3.86E-011, 
 77.70,   3.21E-011, 
 77.80,   6.56E-011, 
 77.90,   4.50E-011, 
 78.00,   8.61E-011, 
 78.10,   1.18E-010, 
 78.20,   1.74E-010, 
 78.30,   1.73E-010, 
 78.40,   5.66E-011, 
 78.50,   5.14E-011, 
 78.60,   1.35E-011, 
 78.70,   1.54E-011, 
 78.80,   3.08E-011, 
 78.90,   5.27E-011, 
 79.00,   5.59E-011, 
 79.10,   9.00E-011, 
 79.20,   8.68E-011, 
 79.30,   6.30E-011, 
 79.40,   3.47E-011, 
 79.50,   9.00E-012, 
 79.60,   1.61E-011, 
 79.70,   5.14E-012, 
 79.80,   1.16E-011, 
 79.90,   4.69E-011, 
 80.00,   6.11E-011, 
 80.10,   2.38E-011, 
 80.20,   2.96E-011, 
 80.30,  -7.07E-012, 
 80.40,  -5.14E-012, 
 80.50,   1.93E-011, 
 80.60,   2.76E-011, 
 80.70,   4.56E-011, 
 80.80,   4.76E-011, 
 80.90,   3.21E-011, 
 81.00,   6.62E-011, 
 81.10,   9.06E-011, 
 81.20,   8.68E-011, 
 81.30,   4.63E-011, 
 81.40,   4.11E-011, 
 81.50,   1.99E-011, 
 81.60,   3.86E-011, 
 81.70,   1.00E-010, 
 81.80,   1.92E-010, 
 81.90,   3.12E-010, 
 82.00,   3.04E-010, 
 82.10,   2.60E-010, 
 82.20,   1.22E-010, 
 82.30,   7.78E-011, 
 82.40,   6.43E-011, 
 82.50,   3.60E-011, 
 82.60,   5.46E-011, 
 82.70,   8.55E-011, 
 82.80,   1.24E-010, 
 82.90,   2.63E-010, 
 83.00,   2.67E-010, 
 83.10,   2.53E-010, 
 83.20,   1.58E-010, 
 83.30,   1.18E-010, 
 83.40,   6.81E-011, 
 83.50,   8.16E-011, 
 83.60,   2.07E-010, 
 83.70,   3.99E-010, 
 83.80,   6.43E-010, 
 83.90,   1.05E-009, 
 84.00,   1.41E-009, 
 84.10,   1.40E-009, 
 84.20,   1.04E-009, 
 84.30,   6.43E-010, 
 84.40,   3.68E-010, 
 84.50,   1.73E-010, 
 84.60,   9.51E-011, 
 84.70,   4.50E-011, 
 84.80,   2.25E-011, 
 84.90,   2.57E-012, 
 85.00,   4.63E-011, 
 85.10,   5.01E-011, 
 85.20,   1.99E-011, 
 85.30,  -3.86E-012, 
 85.40,   4.50E-012, 
 85.50,   6.43E-013, 
 85.60,   2.57E-011, 
 85.70,   8.48E-011, 
 85.80,   2.00E-010, 
 85.90,   2.87E-010, 
 86.00,   3.19E-010, 
 86.10,   2.98E-010, 
 86.20,   1.61E-010, 
 86.30,   4.63E-011, 
 86.40,   3.98E-011, 
 86.50,   4.18E-011, 
 86.60,   3.86E-012, 
 86.70,  -9.64E-012, 
 86.80,   4.50E-012, 
 86.90,   3.86E-012, 
 87.00,   1.16E-011, 
 87.10,   3.47E-011, 
 87.20,   2.70E-011, 
 87.30,   2.19E-011, 
 87.40,   1.93E-012, 
 87.50,  -3.21E-012, 
 87.60,  -3.86E-012, 
 87.70,  -1.09E-011, 
 87.80,   1.74E-011, 
 87.90,   1.80E-011, 
 88.00,   3.86E-012, 
 88.10,   5.40E-011, 
 88.20,   7.71E-011, 
 88.30,   7.71E-011, 
 88.40,   4.56E-011, 
 88.50,  -7.71E-012, 
 88.60,   1.93E-012, 
 88.70,   4.05E-011, 
 88.80,   1.35E-011, 
 88.90,   1.54E-011, 
 89.00,   2.31E-011, 
 89.10,   1.93E-012, 
 89.20,  -7.07E-012, 
 89.30,  -1.93E-012, 
 89.40,   0.00E+000, 
 89.50,   0.00E+000, 
 89.60,   2.06E-011, 
 89.70,  -7.07E-012, 
 89.80,   2.19E-011, 
 89.90,   5.14E-011, 
 90.00,   3.60E-011, 
 90.10,   4.95E-011, 
 90.20,   3.02E-011, 
 90.30,   4.63E-011, 
 90.40,   1.03E-011, 
 90.50,  -3.21E-012, 
 90.60,  -2.12E-011, 
 90.70,  -5.14E-011, 
 90.80,  -4.24E-011, 
 90.90,  -1.93E-011, 
 91.00,   7.71E-012, 
 91.10,   4.56E-011, 
 91.20,   2.96E-011, 
 91.30,   4.50E-012, 
 91.40,  -3.34E-011, 
 91.50,  -2.76E-011, 
 91.60,  -6.43E-012, 
 91.70,  -6.43E-012, 
 91.80,  -5.78E-011, 
 91.90,  -4.11E-011, 
 92.00,  -3.79E-011, 
 92.10,  -1.35E-011, 
 92.20,   3.21E-012, 
 92.30,   2.57E-012, 
 92.40,  -1.41E-011, 
 92.50,  -2.83E-011, 
 92.60,  -5.21E-011, 
 92.70,  -3.66E-011, 
 92.80,  -2.76E-011, 
 92.90,  -9.64E-012, 
 93.00,   1.09E-011, 
 93.10,   1.74E-011, 
 93.20,  -2.57E-011, 
 93.30,  -1.61E-011, 
 93.40,  -1.48E-011, 
 93.50,  -1.48E-011, 
 93.60,   1.03E-011, 
 93.70,   1.74E-011, 
 93.80,  -1.29E-012, 
 93.90,  -9.64E-012, 
 94.00,   1.80E-011, 
 94.10,  -3.86E-012, 
 94.20,   2.76E-011, 
 94.30,   3.53E-011, 
 94.40,  -6.43E-012, 
 94.50,  -2.57E-011, 
 94.60,  -4.50E-012, 
 94.70,  -1.99E-011, 
 94.80,  -5.85E-011, 
 94.90,  -3.47E-011, 
 95.00,  -1.86E-011, 
 95.10,  -1.61E-011, 
 95.20,  -1.35E-011, 
 95.30,  -1.99E-011, 
 95.40,  -9.00E-012, 
 95.50,   2.57E-012, 
 95.60,   8.35E-012, 
 95.70,  -5.14E-012, 
 95.80,   2.96E-011, 
 95.90,   3.98E-011, 
 96.00,   2.76E-011, 
 96.10,   1.41E-011, 
 96.20,  -7.71E-012, 
 96.30,   9.64E-012, 
 96.40,   2.70E-011, 
 96.50,   4.31E-011, 
 96.60,   5.53E-011, 
 96.70,   6.30E-011, 
 96.80,   4.69E-011, 
 96.90,   2.96E-011, 
 97.00,   1.74E-011, 
 97.10,  -3.86E-012, 
 97.20,  -4.50E-012, 
 97.30,   1.48E-011, 
 97.40,   2.57E-012, 
 97.50,  -2.19E-011, 
 97.60,  -1.16E-011, 
 97.70,   2.19E-011, 
 97.80,   5.98E-011, 
 97.90,   4.63E-011, 
 98.00,   2.70E-011, 
 98.10,   2.38E-011, 
 98.20,   3.60E-011, 
 98.30,   3.41E-011, 
 98.40,   2.44E-011, 
 98.50,   1.16E-011, 
 98.60,   3.53E-011, 
 98.70,   2.83E-011, 
 98.80,   3.08E-011, 
 98.90,   3.15E-011, 
 99.00,   9.00E-012, 
 99.10,   2.25E-011, 
 99.20,   1.41E-011, 
 99.30,   2.38E-011, 
 99.40,   9.00E-012, 
 99.50,  -1.35E-011, 
 99.60,   1.29E-012, 
 99.70,   7.71E-012, 
 99.80,   6.43E-012, 
 99.90,   3.21E-012, 
 100.00,   5.14E-012, 
 100.10,   2.38E-011, 
 100.20,   2.96E-011, 
 100.30,   2.76E-011, 
 100.40,  -9.00E-012, 
 100.50,  -6.43E-012, 
 100.60,   1.67E-011, 
 100.70,   9.00E-012, 
 100.80,  -9.00E-012, 
 100.90,  -4.50E-012, 
 101.00,  -6.43E-013, 
 101.10,  -1.48E-011, 
 101.20,   4.50E-012, 
 101.30,   1.22E-011, 
 101.40,  -1.16E-011, 
 101.50,   3.47E-011, 
 101.60,   7.07E-012, 
 101.70,   2.38E-011, 
 101.80,   3.66E-011, 
 101.90,   2.76E-011, 
 102.00,   1.29E-011, 
 102.10,   7.71E-012, 
 102.20,   9.00E-012, 
 102.30,  -1.29E-011, 
 102.40,  -1.54E-011, 
 102.50,  -1.29E-012, 
 102.60,   1.74E-011, 
 102.70,  -2.57E-012, 
 102.80,  -1.48E-011, 
 102.90,  -5.14E-011, 
 103.00,  -4.37E-011, 
 103.10,  -9.64E-012, 
 103.20,   1.16E-011, 
 103.30,   3.73E-011, 
 103.40,   4.24E-011, 
 103.50,   2.38E-011, 
 103.60,  -4.95E-011, 
 103.70,  -1.86E-011, 
 103.80,  -2.76E-011, 
 103.90,  -3.92E-011, 
 104.00,  -1.03E-011, 
 104.10,   5.14E-012, 
 104.20,   0.00E+000, 
 104.30,   6.43E-012, 
 104.40,   2.57E-012, 
 104.50,   1.93E-012, 
 104.60,   8.35E-012, 
 104.70,  -7.07E-012, 
 104.80,   1.29E-012, 
 104.90,  -8.35E-012, 
 105.00,   1.29E-011, 
 105.10,   2.76E-011, 
 105.20,   6.43E-012, 
 105.30,   3.47E-011, 
 105.40,   2.83E-011, 
 105.50,   2.89E-011, 
 105.60,   6.43E-012, 
 105.70,   9.64E-012, 
 105.80,  -1.54E-011, 
 105.90,  -1.74E-011, 
 106.00,  -1.03E-011, 
 106.10,  -1.48E-011, 
 106.20,   1.61E-011, 
 106.30,   1.48E-011, 
 106.40,   1.93E-011, 
 106.50,   2.31E-011, 
 106.60,  -2.25E-011, 
 106.70,   7.71E-012, 
 106.80,   5.14E-012, 
 106.90,  -5.14E-012, 
 107.00,   3.21E-012, 
 107.10,  -6.43E-013, 
 107.20,   7.07E-012, 
 107.30,   4.50E-012, 
 107.40,   9.00E-012, 
 107.50,  -2.89E-011, 
 107.60,   9.00E-012, 
 107.70,   1.09E-011, 
 107.80,  -1.74E-011, 
 107.90,  -1.22E-011, 
 108.00,   3.21E-012, 
 108.10,   6.43E-012, 
 108.20,   1.48E-011, 
 108.30,   1.86E-011, 
 108.40,   4.24E-011, 
 108.50,   2.83E-011, 
 108.60,   2.31E-011, 
 108.70,   1.09E-011, 
 108.80,   6.43E-013, 
 108.90,   1.86E-011, 
 109.00,  -2.57E-012, 
 109.10,  -2.83E-011, 
 109.20,  -2.06E-011, 
 109.30,  -1.29E-012, 
 109.40,   1.54E-011, 
 109.50,  -2.38E-011, 
 109.60,  -5.14E-012, 
 109.70,   1.93E-012, 
 109.80,  -3.21E-012, 
 109.90,   3.15E-011, 
 110.00,   4.43E-011, 
 110.10,   3.60E-011, 
 110.20,   4.50E-011, 
 110.30,   2.25E-011, 
 110.40,   1.86E-011, 
 110.50,   6.04E-011, 
 110.60,   4.05E-011, 
 110.70,   9.00E-012, 
 110.80,  -9.64E-012, 
 110.90,   5.78E-012, 
 111.00,   3.21E-011, 
 111.10,   2.63E-011, 
 111.20,   1.93E-012, 
 111.30,  -1.74E-011, 
 111.40,  -6.43E-012, 
 111.50,  -3.34E-011, 
 111.60,  -3.41E-011, 
 111.70,  -4.88E-011, 
 111.80,  -3.98E-011, 
 111.90,  -4.50E-011, 
 112.00,  -3.86E-012, 
 112.10,   4.50E-012, 
 112.20,   2.06E-011, 
 112.30,  -1.35E-011, 
 112.40,   1.09E-011, 
 112.50,  -3.21E-012, 
 112.60,   3.86E-012, 
 112.70,   4.50E-012, 
 112.80,   2.25E-011, 
 112.90,   2.57E-011, 
 113.00,   4.95E-011, 
 113.10,   4.50E-012, 
 113.20,   2.83E-011, 
 113.30,   3.41E-011, 
 113.40,   1.35E-011, 
 113.50,  -1.67E-011, 
 113.60,  -1.22E-011, 
 113.70,  -2.12E-011, 
 113.80,   3.02E-011, 
 113.90,   5.08E-011, 
 114.00,   4.37E-011, 
 114.10,   4.18E-011, 
 114.20,  -1.54E-011, 
 114.30,  -1.22E-011, 
 114.40,  -1.61E-011, 
 114.50,  -6.43E-012, 
 114.60,  -1.16E-011, 
 114.70,  -1.22E-011, 
 114.80,  -1.22E-011, 
 114.90,   1.41E-011, 
 115.00,  -2.38E-011, 
 115.10,   1.48E-011, 
 115.20,   3.53E-011, 
 115.30,   2.89E-011, 
 115.40,  -3.02E-011, 
 115.50,  -2.63E-011, 
 115.60,  -1.99E-011, 
 115.70,  -1.22E-011, 
 115.80,  -3.08E-011, 
 115.90,  -3.21E-011, 
 116.00,   3.21E-012, 
 116.10,   3.15E-011, 
 116.20,   8.35E-012, 
 116.30,   7.07E-012, 
 116.40,   2.19E-011, 
 116.50,   1.48E-011, 
 116.60,   1.74E-011, 
 116.70,   2.83E-011, 
 116.80,   5.40E-011, 
 116.90,   1.67E-011, 
 117.00,  -5.14E-012, 
 117.10,  -3.86E-012, 
 117.20,  -6.43E-013, 
 117.30,  -2.76E-011, 
 117.40,  -3.86E-012, 
 117.50,  -9.64E-012, 
 117.60,   8.35E-012, 
