Jan 01, 2004  03:13:17 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   2.18E-010, 
 55.10,   2.65E-010, 
 55.20,   2.16E-010, 
 55.30,   1.21E-010, 
 55.40,   6.49E-011, 
 55.50,   4.05E-011, 
 55.60,   4.31E-011, 
 55.70,   1.16E-010, 
 55.80,   2.96E-010, 
 55.90,   4.22E-010, 
 56.00,   5.21E-010, 
 56.10,   5.82E-010, 
 56.20,   5.02E-010, 
 56.30,   3.52E-010, 
 56.40,   2.01E-010, 
 56.50,   9.32E-011, 
 56.60,   3.79E-011, 
 56.70,   4.82E-011, 
 56.80,   5.98E-011, 
 56.90,   5.66E-011, 
 57.00,   7.07E-011, 
 57.10,   7.46E-011, 
 57.20,   5.01E-011, 
 57.30,   5.21E-011, 
 57.40,   3.28E-011, 
 57.50,   1.54E-011, 
 57.60,   4.05E-011, 
 57.70,   7.13E-011, 
 57.80,   6.23E-011, 
 57.90,   8.87E-011, 
 58.00,   9.83E-011, 
 58.10,   1.06E-010, 
 58.20,   6.88E-011, 
 58.30,   2.96E-011, 
 58.40,   4.63E-011, 
 58.50,   2.76E-011, 
 58.60,   2.25E-011, 
 58.70,   1.74E-011, 
 58.80,   9.64E-012, 
 58.90,  -6.43E-013, 
 59.00,   2.51E-011, 
 59.10,   1.03E-011, 
 59.20,   1.74E-011, 
 59.30,   3.34E-011, 
 59.40,  -6.43E-013, 
 59.50,  -1.35E-011, 
 59.60,   1.99E-011, 
 59.70,   2.19E-011, 
 59.80,   3.92E-011, 
 59.90,   3.08E-011, 
 60.00,  -1.29E-012, 
 60.10,  -1.93E-011, 
 60.20,  -2.63E-011, 
 60.30,  -9.64E-012, 
 60.40,  -2.19E-011, 
 60.50,  -3.98E-011, 
 60.60,  -4.82E-011, 
 60.70,  -1.93E-011, 
 60.80,  -2.51E-011, 
 60.90,  -3.21E-011, 
 61.00,  -1.03E-011, 
 61.10,  -2.57E-011, 
 61.20,  -1.29E-011, 
 61.30,   1.22E-011, 
 61.40,  -7.71E-012, 
 61.50,  -9.00E-012, 
 61.60,  -5.14E-012, 
 61.70,  -2.12E-011, 
 61.80,  -6.43E-012, 
 61.90,  -1.29E-012, 
 62.00,   9.00E-012, 
 62.10,   1.80E-011, 
 62.20,   2.96E-011, 
 62.30,   1.29E-012, 
 62.40,   1.93E-011, 
 62.50,   2.83E-011, 
 62.60,   3.34E-011, 
 62.70,   5.40E-011, 
 62.80,   4.43E-011, 
 62.90,   2.70E-011, 
 63.00,   4.95E-011, 
 63.10,   3.34E-011, 
 63.20,   5.01E-011, 
 63.30,   4.31E-011, 
 63.40,   4.56E-011, 
 63.50,   5.53E-011, 
 63.60,   7.71E-011, 
 63.70,   9.96E-011, 
 63.80,   1.41E-010, 
 63.90,   1.75E-010, 
 64.00,   3.18E-010, 
 64.10,   4.78E-010, 
 64.20,   8.37E-010, 
 64.30,   1.26E-009, 
 64.40,   1.58E-009, 
 64.50,   1.64E-009, 
 64.60,   1.32E-009, 
 64.70,   8.26E-010, 
 64.80,   5.67E-010, 
 64.90,   4.70E-010, 
 65.00,   4.52E-010, 
 65.10,   5.34E-010, 
 65.20,   7.37E-010, 
 65.30,   1.02E-009, 
 65.40,   1.23E-009, 
 65.50,   1.36E-009, 
 65.60,   1.34E-009, 
 65.70,   1.29E-009, 
 65.80,   1.43E-009, 
 65.90,   1.59E-009, 
 66.00,   1.64E-009, 
 66.10,   1.30E-009, 
 66.20,   7.41E-010, 
 66.30,   4.13E-010, 
 66.40,   2.24E-010, 
 66.50,   1.48E-010, 
 66.60,   1.66E-010, 
 66.70,   3.32E-010, 
 66.80,   4.85E-010, 
 66.90,   6.20E-010, 
 67.00,   6.77E-010, 
 67.10,   6.08E-010, 
 67.20,   3.98E-010, 
 67.30,   2.19E-010, 
 67.40,   9.70E-011, 
 67.50,   7.97E-011, 
 67.60,   1.13E-010, 
 67.70,   3.19E-010, 
 67.80,   4.15E-010, 
 67.90,   4.93E-010, 
 68.00,   4.62E-010, 
 68.10,   3.60E-010, 
 68.20,   2.08E-010, 
 68.30,   1.63E-010, 
 68.40,   7.97E-011, 
