Jan 01, 2004  03:06:10 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   4.24E-011, 
 55.10,   3.86E-011, 
 55.20,   2.19E-011, 
 55.30,   1.93E-012, 
 55.40,  -2.25E-011, 
 55.50,  -6.43E-012, 
 55.60,   2.57E-011, 
 55.70,   7.71E-012, 
 55.80,   6.43E-012, 
 55.90,   1.67E-011, 
 56.00,   4.50E-012, 
 56.10,   2.44E-011, 
 56.20,   3.15E-011, 
 56.30,   3.21E-012, 
 56.40,   2.25E-011, 
 56.50,  -5.14E-012, 
 56.60,   3.28E-011, 
 56.70,   5.78E-012, 
 56.80,  -3.66E-011, 
 56.90,  -1.80E-011, 
 57.00,   2.96E-011, 
 57.10,   4.05E-011, 
 57.20,   6.43E-011, 
 57.30,   5.01E-011, 
 57.40,   4.50E-011, 
 57.50,   4.76E-011, 
 57.60,   6.43E-013, 
 57.70,  -1.54E-011, 
 57.80,  -9.00E-012, 
 57.90,   1.22E-011, 
 58.00,   5.66E-011, 
 58.10,   4.11E-011, 
 58.20,   4.50E-011, 
 58.30,   5.78E-011, 
 58.40,   3.73E-011, 
 58.50,   1.22E-011, 
 58.60,   2.51E-011, 
 58.70,   3.21E-011, 
 58.80,   0.00E+000, 
 58.90,   6.43E-013, 
 59.00,   1.67E-011, 
 59.10,   3.34E-011, 
 59.20,   7.07E-012, 
 59.30,   1.86E-011, 
 59.40,   1.67E-011, 
 59.50,   1.16E-011, 
 59.60,   1.74E-011, 
 59.70,   2.31E-011, 
 59.80,   1.16E-011, 
 59.90,   3.08E-011, 
 60.00,   4.31E-011, 
 60.10,   2.25E-011, 
 60.20,  -1.29E-011, 
 60.30,  -2.57E-012, 
 60.40,  -5.14E-012, 
 60.50,   1.09E-011, 
 60.60,   2.19E-011, 
 60.70,   1.29E-011, 
 60.80,   2.70E-011, 
 60.90,   2.76E-011, 
 61.00,   1.54E-011, 
 61.10,   3.79E-011, 
 61.20,   3.47E-011, 
 61.30,   4.95E-011, 
 61.40,   5.98E-011, 
 61.50,   4.11E-011, 
 61.60,   4.63E-011, 
 61.70,   2.38E-011, 
 61.80,   5.40E-011, 
 61.90,   6.88E-011, 
 62.00,   6.81E-011, 
 62.10,   7.39E-011, 
 62.20,   6.11E-011, 
 62.30,   4.69E-011, 
 62.40,   9.64E-012, 
 62.50,   5.78E-012, 
 62.60,   3.21E-012, 
 62.70,  -3.21E-012, 
 62.80,   6.43E-013, 
 62.90,   4.76E-011, 
 63.00,   5.40E-011, 
 63.10,   5.14E-011, 
 63.20,   1.11E-010, 
 63.30,   1.15E-010, 
 63.40,   1.25E-010, 
 63.50,   1.35E-010, 
 63.60,   1.88E-010, 
 63.70,   4.06E-010, 
 63.80,   4.87E-010, 
 63.90,   6.46E-010, 
 64.00,   8.52E-010, 
 64.10,   1.65E-009, 
 64.20,   3.33E-009, 
 64.30,   4.87E-009, 
 64.40,   5.79E-009, 
 64.50,   5.73E-009, 
 64.60,   4.02E-009, 
 64.70,   2.20E-009, 
 64.80,   1.48E-009, 
 64.90,   1.31E-009, 
 65.00,   1.36E-009, 
 65.10,   1.81E-009, 
 65.20,   2.89E-009, 
 65.30,   3.87E-009, 
 65.40,   4.53E-009, 
 65.50,   4.56E-009, 
 65.60,   4.06E-009, 
 65.70,   4.10E-009, 
 65.80,   4.85E-009, 
 65.90,   5.67E-009, 
 66.00,   5.60E-009, 
 66.10,   3.83E-009, 
 66.20,   1.71E-009, 
 66.30,   8.02E-010, 
 66.40,   4.91E-010, 
 66.50,   3.91E-010, 
 66.60,   5.44E-010, 
 66.70,   1.06E-009, 
 66.80,   1.60E-009, 
 66.90,   1.95E-009, 
 67.00,   1.98E-009, 
 67.10,   1.54E-009, 
 67.20,   8.46E-010, 
 67.30,   4.48E-010, 
 67.40,   2.53E-010, 
 67.50,   2.08E-010, 
 67.60,   4.56E-010, 
 67.70,   9.01E-010, 
 67.80,   1.28E-009, 
 67.90,   1.60E-009, 
 68.00,   1.69E-009, 
 68.10,   1.34E-009, 
 68.20,   7.19E-010, 
 68.30,   3.70E-010, 
 68.40,   1.48E-010, 
 68.50,   1.00E-010, 
