Jan 01, 2004  02:00:00 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   1.83E-007, 
 30.10,   1.68E-007, 
 30.20,   1.28E-007, 
 30.30,   2.10E-008, 
 30.40,   3.02E-009, 
 30.50,   1.29E-009, 
 30.60,   9.06E-010, 
 30.70,   1.20E-009, 
 30.80,   2.08E-009, 
 30.90,   2.80E-009, 
 31.00,   3.50E-009, 
 31.10,   4.24E-009, 
 31.20,   5.25E-009, 
 31.30,   5.78E-009, 
 31.40,   8.69E-009, 
 31.50,   2.31E-008, 
 31.60,   9.25E-008, 
 31.70,   2.55E-007, 
 31.80,   3.48E-007, 
 31.90,   3.62E-007, 
 32.00,   3.89E-007, 
 32.10,   3.55E-007, 
 32.20,   2.63E-007, 
 32.30,   3.59E-008, 
 32.40,   3.71E-009, 
 32.50,   1.50E-009, 
 32.60,   7.63E-010, 
 32.70,   5.12E-010, 
 32.80,   4.14E-010, 
 32.90,   4.28E-010, 
 33.00,   4.87E-010, 
 33.10,   5.14E-010, 
 33.20,   4.93E-010, 
 33.30,   3.37E-010, 
 33.40,   1.09E-010, 
 33.50,   2.83E-011, 
 33.60,   9.58E-011, 
 33.70,   3.79E-010, 
 33.80,   8.17E-010, 
 33.90,   1.18E-009, 
 34.00,   1.34E-009, 
 34.10,   1.39E-009, 
 34.20,   1.29E-009, 
 34.30,   7.35E-010, 
 34.40,   2.90E-010, 
 34.50,   7.01E-011, 
 34.60,  -2.57E-012, 
 34.70,   6.04E-011, 
 34.80,   2.40E-010, 
 34.90,   2.90E-010, 
 35.00,   3.07E-010, 
 35.10,   3.84E-010, 
 35.20,   3.57E-010, 
 35.30,   2.02E-010, 
 35.40,   6.43E-011, 
 35.50,   5.78E-011, 
 35.60,   2.08E-010, 
 35.70,   5.97E-010, 
 35.80,   1.14E-009, 
 35.90,   1.51E-009, 
 36.00,   1.76E-009, 
 36.10,   1.80E-009, 
 36.20,   1.62E-009, 
 36.30,   8.52E-010, 
 36.40,   3.83E-010, 
 36.50,   1.79E-010, 
 36.60,   6.62E-011, 
 36.70,   9.45E-011, 
 36.80,   1.80E-010, 
 36.90,   1.80E-010, 
 37.00,   1.81E-010, 
 37.10,   1.77E-010, 
 37.20,   2.07E-010, 
 37.30,   8.61E-011, 
 37.40,   6.23E-011, 
 37.50,   5.40E-011, 
 37.60,   1.05E-010, 
 37.70,   3.05E-010, 
 37.80,   5.73E-010, 
 37.90,   8.01E-010, 
 38.00,   9.67E-010, 
 38.10,   1.07E-009, 
 38.20,   1.05E-009, 
 38.30,   8.44E-010, 
 38.40,   7.76E-010, 
 38.50,   1.22E-009, 
 38.60,   3.95E-009, 
 38.70,   1.53E-008, 
 38.80,   2.39E-008, 
 38.90,   2.61E-008, 
 39.00,   2.81E-008, 
 39.10,   2.73E-008, 
 39.20,   1.99E-008, 
 39.30,   7.26E-009, 
 39.40,   5.50E-009, 
 39.50,   1.23E-008, 
 39.60,   5.14E-008, 
 39.70,   1.38E-007, 
 39.80,   1.78E-007, 
 39.90,   1.89E-007, 
 40.00,   1.94E-007, 
 40.10,   1.90E-007, 
 40.20,   1.09E-007, 
 40.30,   2.29E-008, 
 40.40,   2.56E-008, 
 40.50,   6.45E-008, 
 40.60,   2.37E-007, 
 40.70,   5.61E-007, 
 40.80,   7.28E-007, 
 40.90,   7.89E-007, 
 41.00,   8.53E-007, 
 41.10,   9.93E-007, 
