Jan 01, 2004  02:12:43 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   7.53E-008, 
 30.10,   6.82E-008, 
 30.20,   5.12E-008, 
 30.30,   1.17E-008, 
 30.40,   2.36E-009, 
 30.50,   1.04E-009, 
 30.60,   6.29E-010, 
 30.70,   5.69E-010, 
 30.80,   7.23E-010, 
 30.90,   9.20E-010, 
 31.00,   1.05E-009, 
 31.10,   1.18E-009, 
 31.20,   1.35E-009, 
 31.30,   1.44E-009, 
 31.40,   1.91E-009, 
 31.50,   3.59E-009, 
 31.60,   1.48E-008, 
 31.70,   6.32E-008, 
 31.80,   8.75E-008, 
 31.90,   1.03E-007, 
 32.00,   1.00E-007, 
 32.10,   9.09E-008, 
 32.20,   6.45E-008, 
 32.30,   1.31E-008, 
 32.40,   2.45E-009, 
 32.50,   1.11E-009, 
 32.60,   6.02E-010, 
 32.70,   3.90E-010, 
 32.80,   2.51E-010, 
 32.90,   1.70E-010, 
 33.00,   1.93E-010, 
 33.10,   1.67E-010, 
 33.20,   1.63E-010, 
 33.30,   1.34E-010, 
 33.40,   7.26E-011, 
 33.50,   3.28E-011, 
 33.60,   4.63E-011, 
 33.70,   8.80E-011, 
 33.80,   1.95E-010, 
 33.90,   3.44E-010, 
 34.00,   3.43E-010, 
 34.10,   3.32E-010, 
 34.20,   2.85E-010, 
 34.30,   1.44E-010, 
 34.40,   6.43E-011, 
 34.50,   5.91E-011, 
 34.60,   5.40E-011, 
 34.70,   7.52E-011, 
 34.80,   1.51E-010, 
 34.90,   2.80E-010, 
 35.00,   3.16E-010, 
 35.10,   2.96E-010, 
 35.20,   1.91E-010, 
 35.30,   1.06E-010, 
 35.40,   3.47E-011, 
 35.50,   3.53E-011, 
 35.60,   6.11E-011, 
 35.70,   1.81E-010, 
 35.80,   3.90E-010, 
 35.90,   5.05E-010, 
 36.00,   5.79E-010, 
 36.10,   6.16E-010, 
 36.20,   5.60E-010, 
 36.30,   2.63E-010, 
 36.40,   8.93E-011, 
 36.50,   1.54E-011, 
 36.60,  -2.38E-011, 
 36.70,   1.29E-012, 
 36.80,   1.67E-011, 
 36.90,   6.56E-011, 
 37.00,   8.23E-011, 
 37.10,   9.51E-011, 
 37.20,   6.11E-011, 
 37.30,   3.86E-011, 
 37.40,   1.48E-011, 
 37.50,   1.86E-011, 
 37.60,   2.76E-011, 
 37.70,   5.72E-011, 
 37.80,   6.49E-011, 
 37.90,   1.42E-010, 
 38.00,   2.22E-010, 
 38.10,   3.08E-010, 
 38.20,   2.11E-010, 
 38.30,   1.10E-010, 
 38.40,   6.62E-011, 
 38.50,   4.11E-011, 
 38.60,   7.39E-011, 
 38.70,   2.35E-010, 
 38.80,   5.12E-010, 
 38.90,   7.08E-010, 
 39.00,   8.29E-010, 
 39.10,   8.87E-010, 
 39.20,   7.89E-010, 
 39.30,   5.65E-010, 
 39.40,   4.65E-010, 
 39.50,   5.84E-010, 
 39.60,   1.65E-009, 
 39.70,   6.16E-009, 
 39.80,   1.04E-008, 
 39.90,   1.20E-008, 
 40.00,   1.30E-008, 
 40.10,   1.21E-008, 
 40.20,   7.65E-009, 
 40.30,   2.68E-009, 
 40.40,   1.33E-009, 
 40.50,   1.28E-009, 
 40.60,   2.97E-009, 
 40.70,   1.01E-008, 
 40.80,   1.60E-008, 
 40.90,   1.81E-008, 
 41.00,   2.00E-008, 
 41.10,   2.21E-008, 
