Jan 01, 2004  02:07:10 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 49.50,   5.40E-011, 
 49.60,   3.66E-011, 
 49.70,   5.53E-011, 
 49.80,   2.32E-010, 
 49.90,   3.77E-010, 
 50.00,   4.79E-010, 
 50.10,   5.71E-010, 
 50.20,   5.55E-010, 
 50.30,   4.38E-010, 
 50.40,   2.75E-010, 
 50.50,   1.04E-010, 
 50.60,   7.71E-011, 
 50.70,   5.46E-011, 
 50.80,   2.44E-011, 
 50.90,   3.66E-011, 
 51.00,   3.98E-011, 
 51.10,   1.11E-010, 
 51.20,   1.47E-010, 
 51.30,   8.93E-011, 
 51.40,  -1.93E-012, 
 51.50,  -3.86E-012, 
 51.60,  -1.86E-011, 
 51.70,   1.86E-011, 
 51.80,   7.52E-011, 
 51.90,   2.04E-010, 
 52.00,   2.28E-010, 
 52.10,   2.43E-010, 
 52.20,   2.24E-010, 
 52.30,   8.61E-011, 
 52.40,   6.17E-011, 
 52.50,   3.53E-011, 
 52.60,  -7.07E-012, 
 52.70,  -1.93E-012, 
 52.80,  -6.43E-013, 
 52.90,   3.66E-011, 
 53.00,   7.33E-011, 
 53.10,   1.02E-010, 
 53.20,   1.25E-010, 
 53.30,   5.14E-011, 
 53.40,  -6.43E-012, 
 53.50,  -4.24E-011, 
 53.60,  -3.73E-011, 
 53.70,  -3.47E-011, 
 53.80,  -5.78E-012, 
 53.90,   4.69E-011, 
 54.00,   1.13E-010, 
 54.10,   2.01E-010, 
 54.20,   2.46E-010, 
 54.30,   2.26E-010, 
 54.40,   1.12E-010, 
 54.50,   4.88E-011, 
 54.60,   1.03E-011, 
 54.70,   3.21E-012, 
 54.80,   3.73E-011, 
 54.90,   1.02E-010, 
 55.00,   2.80E-010, 
 55.10,   3.03E-010, 
 55.20,   3.57E-010, 
 55.30,   3.35E-010, 
 55.40,   2.17E-010, 
 55.50,   8.29E-011, 
 55.60,   6.56E-011, 
 55.70,   6.17E-011, 
 55.80,   1.45E-010, 
 55.90,   3.89E-010, 
 56.00,   5.99E-010, 
 56.10,   7.28E-010, 
 56.20,   8.26E-010, 
 56.30,   8.00E-010, 
 56.40,   5.34E-010, 
 56.50,   3.12E-010, 
 56.60,   1.23E-010, 
 56.70,   1.99E-011, 
 56.80,   2.44E-011, 
 56.90,   6.88E-011, 
 57.00,   8.74E-011, 
 57.10,   8.74E-011, 
 57.20,   1.21E-010, 
 57.30,   1.14E-010, 
 57.40,   7.90E-011, 
 57.50,   1.80E-011, 
 57.60,   3.86E-012, 
 57.70,  -6.43E-013, 
 57.80,   2.19E-011, 
 57.90,   1.07E-010, 
 58.00,   2.29E-010, 
 58.10,   2.35E-010, 
 58.20,   2.26E-010, 
 58.30,   1.71E-010, 
 58.40,   6.43E-011, 
 58.50,   3.02E-011, 
 58.60,   3.08E-011, 
 58.70,   1.54E-011, 
 58.80,  -1.16E-011, 
 58.90,  -4.50E-012, 
 59.00,   9.64E-012, 
 59.10,  -9.00E-012, 
 59.20,  -3.92E-011, 
 59.30,  -4.76E-011, 
 59.40,  -1.86E-011, 
 59.50,  -3.86E-011, 
 59.60,  -6.81E-011, 
 59.70,  -7.01E-011, 
 59.80,  -3.41E-011, 
 59.90,  -1.16E-011, 
 60.00,  -1.29E-011, 
 60.10,  -2.96E-011, 
 60.20,  -2.57E-012, 
 60.30,   1.67E-011, 
 60.40,   3.53E-011, 
 60.50,   1.03E-011, 
 60.60,  -1.35E-011, 
 60.70,   6.43E-013, 
 60.80,   9.64E-012, 
 60.90,  -1.74E-011, 
 61.00,   5.14E-012, 
 61.10,   1.29E-012, 
 61.20,   9.64E-012, 
 61.30,   3.86E-012, 
 61.40,  -4.37E-011, 
 61.50,  -4.63E-011, 
 61.60,  -2.12E-011, 
 61.70,  -3.86E-012, 
 61.80,  -1.09E-011, 
 61.90,  -1.99E-011, 
 62.00,  -2.44E-011, 
 62.10,  -3.66E-011, 
 62.20,   7.07E-012, 
 62.30,   1.16E-011, 
 62.40,  -3.21E-011, 
 62.50,  -2.25E-011, 
 62.60,  -1.35E-011, 
 62.70,  -1.48E-011, 
 62.80,  -1.93E-012, 
 62.90,  -4.69E-011, 
 63.00,  -1.67E-011, 
 63.10,   1.41E-011, 
 63.20,   1.67E-011, 
 63.30,   5.78E-012, 
 63.40,   9.64E-012, 
 63.50,  -5.78E-012, 
 63.60,  -3.86E-012, 
 63.70,   3.21E-012, 
 63.80,   2.12E-011, 
 63.90,   9.90E-011, 
 64.00,   1.15E-010, 
 64.10,   1.46E-010, 
 64.20,   2.21E-010, 
 64.30,   1.02E-010, 
 64.40,   3.98E-011, 
 64.50,   2.38E-011, 
 64.60,  -7.07E-012, 
 64.70,  -1.93E-011, 
 64.80,  -1.41E-011, 
 64.90,  -7.71E-012, 
 65.00,   3.41E-011, 
 65.10,   2.96E-011, 
