Jan 01, 2004  02:09:49 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   8.00E-008, 
 30.10,   7.30E-008, 
 30.20,   5.57E-008, 
 30.30,   1.27E-008, 
 30.40,   2.42E-009, 
 30.50,   1.06E-009, 
 30.60,   6.48E-010, 
 30.70,   6.07E-010, 
 30.80,   7.88E-010, 
 30.90,   1.01E-009, 
 31.00,   1.18E-009, 
 31.10,   1.40E-009, 
 31.20,   1.52E-009, 
 31.30,   1.58E-009, 
 31.40,   2.11E-009, 
 31.50,   4.02E-009, 
 31.60,   1.75E-008, 
 31.70,   6.94E-008, 
 31.80,   9.60E-008, 
 31.90,   1.09E-007, 
 32.00,   1.06E-007, 
 32.10,   9.47E-008, 
 32.20,   6.89E-008, 
 32.30,   1.37E-008, 
 32.40,   2.43E-009, 
 32.50,   1.03E-009, 
 32.60,   5.31E-010, 
 32.70,   3.17E-010, 
 32.80,   2.37E-010, 
 32.90,   1.58E-010, 
 33.00,   1.25E-010, 
 33.10,   9.25E-011, 
 33.20,   9.32E-011, 
 33.30,   6.17E-011, 
 33.40,   1.74E-011, 
 33.50,  -1.99E-011, 
 33.60,  -3.86E-012, 
 33.70,   5.46E-011, 
 33.80,   1.96E-010, 
 33.90,   2.76E-010, 
 34.00,   2.89E-010, 
 34.10,   3.23E-010, 
 34.20,   3.10E-010, 
 34.30,   1.72E-010, 
 34.40,   3.15E-011, 
 34.50,  -2.57E-012, 
 34.60,  -1.09E-011, 
 34.70,   7.07E-012, 
 34.80,   7.01E-011, 
 34.90,   1.16E-010, 
 35.00,   1.62E-010, 
 35.10,   2.11E-010, 
 35.20,   2.28E-010, 
 35.30,   8.16E-011, 
 35.40,   2.31E-011, 
 35.50,   2.31E-011, 
 35.60,   4.05E-011, 
 35.70,   1.95E-010, 
 35.80,   3.84E-010, 
 35.90,   5.04E-010, 
 36.00,   5.99E-010, 
 36.10,   6.05E-010, 
 36.20,   5.64E-010, 
 36.30,   3.41E-010, 
 36.40,   9.32E-011, 
 36.50,   1.22E-011, 
 36.60,  -2.31E-011, 
 36.70,  -1.61E-011, 
 36.80,   0.00E+000, 
 36.90,   6.43E-013, 
 37.00,  -2.12E-011, 
 37.10,  -1.86E-011, 
 37.20,   1.67E-011, 
 37.30,   2.83E-011, 
 37.40,   1.29E-012, 
 37.50,  -9.64E-012, 
 37.60,  -4.24E-011, 
 37.70,   4.18E-011, 
 37.80,   1.77E-010, 
 37.90,   2.84E-010, 
 38.00,   3.46E-010, 
 38.10,   3.54E-010, 
 38.20,   3.23E-010, 
 38.30,   1.90E-010, 
 38.40,   7.07E-011, 
 38.50,   6.94E-011, 
 38.60,   1.16E-010, 
 38.70,   3.20E-010, 
 38.80,   6.11E-010, 
 38.90,   8.64E-010, 
 39.00,   1.04E-009, 
 39.10,   1.14E-009, 
 39.20,   1.04E-009, 
 39.30,   7.04E-010, 
 39.40,   5.65E-010, 
 39.50,   6.88E-010, 
 39.60,   1.74E-009, 
 39.70,   7.03E-009, 
 39.80,   1.25E-008, 
 39.90,   1.44E-008, 
 40.00,   1.53E-008, 
 40.10,   1.43E-008, 
 40.20,   9.59E-009, 
 40.30,   3.29E-009, 
 40.40,   1.62E-009, 
 40.50,   1.63E-009, 
 40.60,   4.23E-009, 
 40.70,   1.64E-008, 
 40.80,   2.47E-008, 
 40.90,   2.74E-008, 
 41.00,   2.98E-008, 
