Jan 01, 2004  03:02:43 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,  -4.56E-011, 
 55.10,  -4.18E-011, 
 55.20,  -3.73E-011, 
 55.30,  -4.88E-011, 
 55.40,  -4.63E-011, 
 55.50,  -5.14E-011, 
 55.60,  -5.98E-011, 
 55.70,  -4.31E-011, 
 55.80,  -4.82E-011, 
 55.90,  -4.63E-011, 
 56.00,  -4.76E-011, 
 56.10,  -5.01E-011, 
 56.20,  -4.24E-011, 
 56.30,  -6.23E-011, 
 56.40,  -9.64E-011, 
 56.50,  -1.10E-010, 
 56.60,  -6.62E-011, 
 56.70,  -6.49E-011, 
 56.80,  -3.08E-011, 
 56.90,  -3.08E-011, 
 57.00,  -2.57E-011, 
 57.10,   1.54E-011, 
 57.20,   1.09E-011, 
 57.30,  -1.29E-011, 
 57.40,  -2.89E-011, 
 57.50,  -4.88E-011, 
 57.60,  -4.56E-011, 
 57.70,  -5.01E-011, 
 57.80,  -3.34E-011, 
 57.90,  -1.61E-011, 
 58.00,  -1.61E-011, 
 58.10,  -1.54E-011, 
 58.20,   1.74E-011, 
 58.30,   1.86E-011, 
 58.40,  -7.07E-012, 
 58.50,  -6.17E-011, 
 58.60,  -8.74E-011, 
 58.70,  -7.58E-011, 
 58.80,  -8.42E-011, 
 58.90,  -5.40E-011, 
 59.00,  -2.63E-011, 
 59.10,  -3.79E-011, 
 59.20,  -5.08E-011, 
 59.30,  -6.62E-011, 
 59.40,  -7.58E-011, 
 59.50,  -7.20E-011, 
 59.60,  -4.37E-011, 
 59.70,  -4.31E-011, 
 59.80,  -3.02E-011, 
 59.90,  -2.89E-011, 
 60.00,  -4.24E-011, 
 60.10,  -5.33E-011, 
 60.20,  -8.03E-011, 
 60.30,  -9.96E-011, 
 60.40,  -1.10E-010, 
 60.50,  -6.30E-011, 
 60.60,  -5.91E-011, 
 60.70,  -4.63E-011, 
 60.80,  -4.05E-011, 
 60.90,  -6.11E-011, 
 61.00,  -7.20E-011, 
 61.10,  -6.30E-011, 
 61.20,  -5.66E-011, 
 61.30,  -3.53E-011, 
 61.40,  -1.41E-011, 
 61.50,  -3.73E-011, 
 61.60,  -4.69E-011, 
 61.70,  -6.17E-011, 
 61.80,  -3.21E-011, 
 61.90,  -2.63E-011, 
 62.00,  -2.83E-011, 
 62.10,  -9.64E-012, 
 62.20,  -2.57E-011, 
 62.30,  -4.18E-011, 
 62.40,  -3.53E-011, 
 62.50,  -3.15E-011, 
 62.60,  -5.46E-011, 
 62.70,  -8.48E-011, 
 62.80,  -5.53E-011, 
 62.90,   6.43E-013, 
 63.00,   2.12E-011, 
 63.10,   3.79E-011, 
 63.20,   2.63E-011, 
 63.30,   4.63E-011, 
 63.40,   1.20E-010, 
 63.50,   1.92E-010, 
 63.60,   3.87E-010, 
 63.70,   6.50E-010, 
 63.80,   9.96E-010, 
 63.90,   1.41E-009, 
 64.00,   1.81E-009, 
 64.10,   3.51E-009, 
 64.20,   8.43E-009, 
 64.30,   1.20E-008, 
 64.40,   1.37E-008, 
 64.50,   1.34E-008, 
 64.60,   9.13E-009, 
 64.70,   4.29E-009, 
 64.80,   2.66E-009, 
 64.90,   2.59E-009, 
 65.00,   2.85E-009, 
 65.10,   3.92E-009, 
 65.20,   7.23E-009, 
 65.30,   9.69E-009, 
 65.40,   1.09E-008, 
 65.50,   1.13E-008, 
 65.60,   9.96E-009, 
 65.70,   9.77E-009, 
 65.80,   1.12E-008, 
 65.90,   1.29E-008, 
 66.00,   1.29E-008, 
 66.10,   8.76E-009, 
 66.20,   3.42E-009, 
 66.30,   1.30E-009, 
 66.40,   6.75E-010, 
 66.50,   4.86E-010, 
 66.60,   8.35E-010, 
 66.70,   2.21E-009, 
 66.80,   3.74E-009, 
 66.90,   4.64E-009, 
 67.00,   4.80E-009, 
 67.10,   3.62E-009, 
 67.20,   1.80E-009, 
 67.30,   8.07E-010, 
 67.40,   4.54E-010, 
 67.50,   3.37E-010, 
 67.60,   6.27E-010, 
 67.70,   1.77E-009, 
 67.80,   2.97E-009, 
 67.90,   3.72E-009, 
 68.00,   3.86E-009, 
 68.10,   3.03E-009, 
