Jan 01, 2004  02:48:02 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   1.01E-008, 
 55.10,   1.06E-008, 
 55.20,   8.84E-009, 
 55.30,   3.95E-009, 
 55.40,   1.47E-009, 
 55.50,   9.98E-010, 
 55.60,   1.32E-009, 
 55.70,   4.87E-009, 
 55.80,   1.66E-008, 
 55.90,   2.56E-008, 
 56.00,   2.98E-008, 
 56.10,   3.07E-008, 
 56.20,   2.40E-008, 
 56.30,   8.85E-009, 
 56.40,   1.99E-009, 
 56.50,   7.42E-010, 
 56.60,   3.39E-010, 
 56.70,   3.46E-010, 
 56.80,   6.14E-010, 
 56.90,   9.59E-010, 
 57.00,   1.22E-009, 
 57.10,   1.32E-009, 
 57.20,   1.24E-009, 
 57.30,   7.87E-010, 
 57.40,   3.80E-010, 
 57.50,   1.56E-010, 
 57.60,   9.70E-011, 
 57.70,   8.35E-011, 
 57.80,   2.48E-010, 
 57.90,   4.02E-010, 
 58.00,   5.82E-010, 
 58.10,   6.68E-010, 
 58.20,   5.87E-010, 
 58.30,   3.24E-010, 
 58.40,   1.86E-010, 
 58.50,   9.90E-011, 
 58.60,   9.70E-011, 
 58.70,   5.85E-011, 
 58.80,   4.63E-011, 
 58.90,   1.41E-011, 
 59.00,   2.19E-011, 
 59.10,   4.43E-011, 
 59.20,   4.31E-011, 
 59.30,   4.18E-011, 
 59.40,   2.06E-011, 
 59.50,  -1.74E-011, 
 59.60,  -1.54E-011, 
 59.70,  -1.35E-011, 
 59.80,  -2.19E-011, 
 59.90,  -7.07E-012, 
 60.00,  -1.41E-011, 
 60.10,   1.35E-011, 
 60.20,   2.76E-011, 
 60.30,   2.89E-011, 
 60.40,   4.05E-011, 
 60.50,  -2.57E-012, 
 60.60,   1.99E-011, 
 60.70,   1.22E-011, 
 60.80,   4.24E-011, 
 60.90,   9.90E-011, 
 61.00,   1.96E-010, 
 61.10,   2.29E-010, 
 61.20,   1.96E-010, 
 61.30,   2.52E-010, 
 61.40,   2.95E-010, 
 61.50,   4.83E-010, 
 61.60,   1.43E-009, 
 61.70,   4.41E-009, 
 61.80,   7.89E-009, 
 61.90,   9.83E-009, 
 62.00,   1.03E-008, 
 62.10,   8.44E-009, 
 62.20,   4.09E-009, 
 62.30,   1.55E-009, 
 62.40,   9.37E-010, 
 62.50,   1.05E-009, 
 62.60,   2.04E-009, 
 62.70,   5.01E-009, 
 62.80,   8.66E-009, 
 62.90,   1.18E-008, 
 63.00,   1.37E-008, 
 63.10,   1.35E-008, 
 63.20,   1.14E-008, 
 63.30,   1.33E-008, 
 63.40,   2.06E-008, 
 63.50,   3.18E-008, 
 63.60,   7.44E-008, 
 63.70,   1.51E-007, 
 63.80,   2.15E-007, 
 63.90,   2.69E-007, 
 64.00,   3.52E-007, 
 64.10,   7.57E-007, 
 64.20,   1.54E-006, 
 64.30,   2.22E-006, 
 64.40,   2.76E-006, 
 64.50,   2.75E-006, 
 64.60,   1.83E-006, 
 64.70,   6.58E-007, 
 64.80,   3.59E-007, 
 64.90,   4.49E-007, 
 65.00,   5.11E-007, 
 65.10,   7.12E-007, 
 65.20,   1.19E-006, 
 65.30,   1.65E-006, 
 65.40,   2.12E-006, 
 65.50,   2.20E-006, 
 65.60,   1.77E-006, 
 65.70,   1.64E-006, 
 65.80,   1.97E-006, 
 65.90,   2.59E-006, 
 66.00,   2.60E-006, 
 66.10,   1.65E-006, 
 66.20,   4.31E-007, 
 66.30,   2.66E-008, 
 66.40,   2.40E-008, 
 66.50,   5.10E-008, 
 66.60,   2.13E-007, 
 66.70,   5.23E-007, 
 66.80,   7.90E-007, 
 66.90,   9.87E-007, 
 67.00,   9.71E-007, 
 67.10,   5.83E-007, 
 67.20,   1.57E-007, 
 67.30,   1.76E-008, 
 67.40,   1.89E-008, 
 67.50,   4.06E-008, 
 67.60,   1.72E-007, 
 67.70,   4.38E-007, 
 67.80,   6.80E-007, 
 67.90,   8.40E-007, 
 68.00,   8.04E-007, 
 68.10,   4.70E-007, 
 68.20,   1.38E-007, 
 68.30,   8.16E-009, 
 68.40,   1.87E-009, 
 68.50,   8.32E-010, 
