Jan 01, 2004  04:27:55 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.20,   3.79E-008, 
 20.30,   4.72E-009, 
 20.40,   1.97E-009, 
 20.50,   1.28E-009, 
 20.60,   1.18E-009, 
 20.70,   1.51E-009, 
 20.80,   1.73E-009, 
 20.90,   1.90E-009, 
 21.00,   2.08E-009, 
 21.10,   2.27E-009, 
 21.20,   2.45E-009, 
 21.30,   1.90E-009, 
 21.40,   1.74E-009, 
 21.50,   1.96E-009, 
 21.60,   2.51E-009, 
 21.70,   3.61E-009, 
 21.80,   3.74E-009, 
 21.90,   4.08E-009, 
 22.00,   4.22E-009, 
 22.10,   4.02E-009, 
 22.20,   2.87E-009, 
 22.30,   1.24E-009, 
 22.40,   6.27E-010, 
 22.50,   3.93E-010, 
 22.60,   2.69E-010, 
 22.70,   1.92E-010, 
 22.80,   8.55E-011, 
 22.90,   1.67E-011, 
 23.00,   4.31E-011, 
 23.10,   1.22E-010, 
 23.20,   1.77E-010, 
 23.30,   2.76E-010, 
 23.40,   6.89E-010, 
 23.50,   1.88E-009, 
 23.60,   9.69E-009, 
 23.70,   2.48E-008, 
 23.80,   2.93E-008, 
 23.90,   3.21E-008, 
 24.00,   3.15E-008, 
 24.10,   3.12E-008, 
 24.20,   1.62E-008, 
 24.30,   4.28E-009, 
 24.40,   4.45E-009, 
 24.50,   1.14E-008, 
 24.60,   5.25E-008, 
 24.70,   1.03E-007, 
 24.80,   1.17E-007, 
 24.90,   1.31E-007, 
 25.00,   1.27E-007, 
 25.10,   1.28E-007, 
 25.20,   5.75E-008, 
 25.30,   1.60E-008, 
 25.40,   3.12E-008, 
 25.50,   8.56E-008, 
 25.60,   3.38E-007, 
 25.70,   6.27E-007, 
 25.80,   7.08E-007, 
 25.90,   7.80E-007, 
 26.00,   7.53E-007, 
 26.10,   7.35E-007, 
 26.20,   3.51E-007, 
 26.30,   4.10E-008, 
 26.40,   6.84E-008, 
 26.50,   1.67E-007, 
 26.60,   5.96E-007, 
 26.70,   1.26E-006, 
