Jan 01, 2004  02:48:33 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 901 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 145, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   2.50E-009, 
 55.10,   2.52E-009, 
 55.20,   2.43E-009, 
 55.30,   1.57E-009, 
 55.40,   8.01E-010, 
 55.50,   4.98E-010, 
 55.60,   4.84E-010, 
 55.70,   8.81E-010, 
 55.80,   2.62E-009, 
 55.90,   4.80E-009, 
 56.00,   6.58E-009, 
 56.10,   7.12E-009, 
 56.20,   6.70E-009, 
 56.30,   3.65E-009, 
 56.40,   1.41E-009, 
 56.50,   5.78E-010, 
 56.60,   2.84E-010, 
 56.70,   1.59E-010, 
 56.80,   1.85E-010, 
 56.90,   2.65E-010, 
 57.00,   3.00E-010, 
 57.10,   3.19E-010, 
 57.20,   3.16E-010, 
 57.30,   1.86E-010, 
 57.40,   1.20E-010, 
 57.50,   9.06E-011, 
 57.60,   1.67E-011, 
 57.70,  -5.78E-012, 
 57.80,   8.55E-011, 
 57.90,   1.74E-010, 
 58.00,   2.38E-010, 
 58.10,   3.10E-010, 
 58.20,   2.85E-010, 
 58.30,   2.12E-010, 
 58.40,   8.03E-011, 
 58.50,   4.50E-011, 
 58.60,   5.78E-012, 
 58.70,  -2.89E-011, 
 58.80,  -1.22E-011, 
 58.90,  -1.74E-011, 
 59.00,   8.35E-012, 
 59.10,  -1.61E-011, 
 59.20,  -2.63E-011, 
 59.30,  -5.14E-012, 
 59.40,  -2.96E-011, 
 59.50,  -4.56E-011, 
 59.60,  -5.40E-011, 
 59.70,  -6.17E-011, 
 59.80,  -3.08E-011, 
 59.90,  -2.63E-011, 
 60.00,  -3.02E-011, 
 60.10,  -1.93E-012, 
 60.20,  -7.71E-012, 
 60.30,  -1.16E-011, 
 60.40,  -4.76E-011, 
 60.50,  -1.15E-010, 
 60.60,  -9.77E-011, 
 60.70,  -3.86E-011, 
 60.80,   1.41E-011, 
 60.90,   3.21E-011, 
 61.00,   3.02E-011, 
 61.10,   4.43E-011, 
 61.20,   6.30E-011, 
 61.30,   8.48E-011, 
 61.40,   1.33E-010, 
 61.50,   2.42E-010, 
 61.60,   7.04E-010, 
 61.70,   2.55E-009, 
 61.80,   4.89E-009, 
 61.90,   6.92E-009, 
 62.00,   7.15E-009, 
 62.10,   6.15E-009, 
 62.20,   3.39E-009, 
 62.30,   1.45E-009, 
 62.40,   8.34E-010, 
 62.50,   7.55E-010, 
 62.60,   1.21E-009, 
 62.70,   3.26E-009, 
 62.80,   6.12E-009, 
 62.90,   8.79E-009, 
 63.00,   1.02E-008, 
 63.10,   1.13E-008, 
 63.20,   1.12E-008, 
 63.30,   1.34E-008, 
 63.40,   1.96E-008, 
 63.50,   2.93E-008, 
 63.60,   5.85E-008, 
 63.70,   1.26E-007, 
 63.80,   1.66E-007, 
 63.90,   2.16E-007, 
 64.00,   2.69E-007, 
 64.10,   5.32E-007, 
 64.20,   1.25E-006, 
 64.30,   1.63E-006, 
 64.40,   2.03E-006, 
 64.50,   1.94E-006, 
 64.60,   1.32E-006, 
 64.70,   5.29E-007, 
 64.80,   2.66E-007, 
 64.90,   3.39E-007, 
 65.00,   3.83E-007, 
 65.10,   5.35E-007, 
 65.20,   1.02E-006, 
 65.30,   1.29E-006, 
 65.40,   1.62E-006, 
 65.50,   1.57E-006, 
 65.60,   1.33E-006, 
 65.70,   1.39E-006, 
 65.80,   1.53E-006, 
 65.90,   1.95E-006, 
 66.00,   1.88E-006, 
 66.10,   1.29E-006, 
 66.20,   3.86E-007, 
 66.30,   2.46E-008, 
 66.40,   2.35E-008, 
 66.50,   4.34E-008, 
 66.60,   1.51E-007, 
 66.70,   4.47E-007, 
 66.80,   6.23E-007, 
 66.90,   7.82E-007, 
 67.00,   7.26E-007, 
 67.10,   4.55E-007, 
 67.20,   1.44E-007, 
 67.30,   1.67E-008, 
 67.40,   1.83E-008, 
 67.50,   3.44E-008, 
 67.60,   1.20E-007, 
 67.70,   3.71E-007, 
 67.80,   5.06E-007, 
 67.90,   6.14E-007, 
 68.00,   5.79E-007, 
 68.10,   3.79E-007, 
 68.20,   1.38E-007, 
 68.30,   8.40E-009, 
 68.40,   2.02E-009, 
