Jan 01, 2004  02:17:48 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   6.36E-008, 
 30.10,   5.83E-008, 
 30.20,   4.36E-008, 
 30.30,   1.02E-008, 
 30.40,   2.24E-009, 
 30.50,   1.03E-009, 
 30.60,   6.41E-010, 
 30.70,   5.59E-010, 
 30.80,   6.29E-010, 
 30.90,   7.52E-010, 
 31.00,   8.26E-010, 
 31.10,   9.85E-010, 
 31.20,   1.11E-009, 
 31.30,   1.17E-009, 
 31.40,   1.54E-009, 
 31.50,   2.97E-009, 
 31.60,   1.15E-008, 
 31.70,   5.25E-008, 
 31.80,   7.20E-008, 
 31.90,   8.37E-008, 
 32.00,   8.16E-008, 
 32.10,   7.22E-008, 
 32.20,   5.11E-008, 
 32.30,   1.09E-008, 
 32.40,   2.21E-009, 
 32.50,   9.47E-010, 
 32.60,   4.67E-010, 
 32.70,   2.28E-010, 
 32.80,   1.76E-010, 
 32.90,   1.68E-010, 
 33.00,   1.46E-010, 
 33.10,   1.47E-010, 
 33.20,   9.19E-011, 
 33.30,   8.74E-011, 
 33.40,   2.83E-011, 
 33.50,   2.19E-011, 
 33.60,   3.53E-011, 
 33.70,   1.00E-010, 
 33.80,   1.66E-010, 
 33.90,   2.26E-010, 
 34.00,   3.41E-010, 
 34.10,   3.76E-010, 
 34.20,   3.56E-010, 
 34.30,   2.16E-010, 
 34.40,   1.22E-010, 
 34.50,   8.87E-011, 
 34.60,   6.04E-011, 
 34.70,   7.97E-011, 
 34.80,   1.36E-010, 
 34.90,   1.84E-010, 
 35.00,   1.90E-010, 
 35.10,   1.88E-010, 
 35.20,   1.56E-010, 
 35.30,   1.07E-010, 
 35.40,   6.04E-011, 
 35.50,   5.46E-011, 
 35.60,   5.33E-011, 
 35.70,   1.75E-010, 
 35.80,   3.89E-010, 
 35.90,   5.15E-010, 
 36.00,   6.06E-010, 
 36.10,   6.34E-010, 
 36.20,   5.29E-010, 
 36.30,   2.63E-010, 
 36.40,   1.05E-010, 
 36.50,   7.13E-011, 
 36.60,   5.14E-011, 
 36.70,   4.69E-011, 
 36.80,   4.37E-011, 
 36.90,   6.04E-011, 
 37.00,   8.87E-011, 
 37.10,   1.16E-010, 
 37.20,   1.06E-010, 
 37.30,   9.38E-011, 
 37.40,   4.11E-011, 
 37.50,   3.47E-011, 
 37.60,   2.70E-011, 
 37.70,   7.71E-011, 
 37.80,   1.66E-010, 
 37.90,   1.90E-010, 
 38.00,   2.67E-010, 
 38.10,   3.13E-010, 
 38.20,   2.24E-010, 
 38.30,   1.66E-010, 
 38.40,   1.07E-010, 
 38.50,   8.23E-011, 
 38.60,   9.77E-011, 
 38.70,   1.12E-010, 
 38.80,   1.84E-010, 
 38.90,   2.40E-010, 
 39.00,   3.86E-010, 
 39.10,   4.16E-010, 
 39.20,   3.88E-010, 
 39.30,   2.99E-010, 
 39.40,   3.36E-010, 
 39.50,   4.45E-010, 
 39.60,   9.31E-010, 
 39.70,   3.43E-009, 
 39.80,   6.38E-009, 
 39.90,   8.09E-009, 
 40.00,   8.72E-009, 
 40.10,   8.26E-009, 
 40.20,   5.76E-009, 
 40.30,   2.24E-009, 
 40.40,   9.84E-010, 
 40.50,   5.75E-010, 
 40.60,   5.00E-010, 
 40.70,   9.67E-010, 
 40.80,   1.60E-009, 
 40.90,   2.09E-009, 
 41.00,   2.41E-009, 
 41.10,   2.73E-009, 
