Temperature,Voltage,a,b,c,d,e
32 C,6 V,195890.94341175945,-30159.16047305832,9652.845500838781,-3497.0458463570417,308.9661006018261
32 C,9 V,317062.4516692746,-40772.421496522686,11614.598955958689,-2376.5300961887842,129.69609936103774
32 C,12 V,411336.77325588977,-20963.01068126323,567.6720842369414,-77.43028255345428,-8.106616223956724
74.1 C,6 V,136044.8955657778,-18114.648443927104,-124.9648480784397,-700.0431003398003,100.31467580443261
74.1 C,9 V,233835.5895400394,-40385.158315843706,7582.1017263467365,-1311.1845156356724,72.1282508160257
74.1 C,12 V,329211.66191470344,-27656.749036750392,-297.50579808097956,202.85795903614292,-17.769271605922622
